Sample	Events/ul ML	OD600 ML	ML Harvest [hr]	Events/ul S	OD600 S	S Harvest [hr]	Growth rate
SW blank	0	0	0		0	0	0
SW blank	0	0	0		0	0	0
SW blank	0	0	0		0	0	0
SW blank	0	0	0		0	0	0
SW blank	0	0	0		0	0	0
SW blank	0	0	0		0	0	0
ProMM -N+C Media blank	1	0	0		0	0	0
ProMM -N+C Media blank	1	0	0		0	0	0
NC 1	210	0.117	14:40:00		0.378	32:40:00	0.15
NC 1	199	0.117	14:40:00		0.378	32:40:00	0.15
NC 1	230	0.117	14:40:00		0.378	32:40:00	0.15
NC 2	242	0.117	14:40:00		0.378	32:40:00	0.15
NC 2	228	0.117	14:40:00		0.378	32:40:00	0.15
NC 2	233	0.117	14:40:00		0.378	32:40:00	0.15
NC 3	249	0.117	14:40:00		0.378	32:40:00	0.15
NC 3	256	0.117	14:40:00		0.378	32:40:00	0.15
NC 3	239	0.117	14:40:00		0.378	32:40:00	0.15
ProMM 1	155	0.048	36:00:00		0.242	55:30:00	0.17
ProMM 1	145	0.048	36:00:00		0.242	55:30:00	0.17
ProMM 1	139	0.048	36:00:00		0.242	55:30:00	0.17
ProMM 2	138	0.048	36:00:00		0.242	55:30:00	0.17
ProMM 2	132	0.048	36:00:00		0.242	55:30:00	0.17
ProMM 2	138	0.048	36:00:00		0.242	55:30:00	0.17
ProMM 3	142	0.048	36:00:00		0.242	55:30:00	0.17
ProMM 3	133	0.048	36:00:00		0.242	55:30:00	0.17
ProMM 3	134	0.048	36:00:00		0.242	55:30:00	0.17
ACD 1	691	0.415	36:00:00		0.589	55:30:00	0.19
ACD 1	523	0.415	36:00:00		0.589	55:30:00	0.19
ACD 1	723	0.415	36:00:00		0.589	55:30:00	0.19
ACD 2	648	0.415	36:00:00		0.589	55:30:00	0.19
ACD 2	426	0.415	36:00:00		0.589	55:30:00	0.19
ACD 2	738	0.415	36:00:00		0.589	55:30:00	0.19
ACD 3	735	0.415	36:00:00		0.589	55:30:00	0.19
ACD 3	745	0.415	36:00:00		0.589	55:30:00	0.19
ACD 3	574	0.415	36:00:00		0.589	55:30:00	0.19
Casein 1	213	0.076	20:20:00		0.218	38:50:00	0.22
Casein 1	222	0.076	20:20:00		0.218	38:50:00	0.22
Casein 1	219	0.076	20:20:00		0.218	38:50:00	0.22
Casein 2	347	0.076	20:20:00		0.218	38:50:00	0.22
Casein 2	305	0.076	20:20:00		0.218	38:50:00	0.22
Casein 2	320	0.076	20:20:00		0.218	38:50:00	0.22
Casein 3	331	0.076	20:20:00		0.218	38:50:00	0.22
Casein 3	320	0.076	20:20:00		0.218	38:50:00	0.22
Casein 3	322	0.076	20:20:00		0.218	38:50:00	0.22
