Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	59.539	61.48	65.185	132.774	143.764	138.703	284.824	296.492	296.728	458.858	443.022	447.105
00:00:30	53.322	55.438	60.884	121.147	133.436	128.649	270.94	279.639	276.903	443.501	430.285	427.872
00:01:00	51.581	54.811	59.201	119.077	128.875	127.106	261.36	272.814	269.966	431.717	419.046	420.918
00:01:30	49.659	52.351	57.09	113.98	126.935	122.017	256.506	262.944	266.987	430.201	413.988	415.261
00:02:00	47.69	51.202	54.682	110.988	125.522	118.284	248.92	255.099	256.299	422.044	403.763	410.787
00:02:30	45.448	49.736	53.201	108.77	120.185	116.57	243.951	253.037	255.327	419.704	402.03	405.172
00:03:00	45.05	49.012	52.652	106.842	118.157	114.122	238.896	251.798	250.182	417.014	401.547	406.585
00:03:30	43.831	48.276	51.521	104.581	114.043	111.408	238.946	245.716	246.791	413.449	394.953	398.46
00:04:00	42.613	46.968	49.769	101.279	112.216	110.824	237.714	242.466	244.575	413.157	396.299	399.844
00:04:30	40.99	46.158	50.297	100.849	111.583	107.723	233.282	237.941	243.108	409.851	392.437	396.405
00:05:00	41.349	44.9	47.993	97.744	106.478	105.485	230.817	235.628	237.961	404.052	390.655	394.191
00:05:30	40.5	44.048	47.766	97.069	106.681	105.009	229.693	233.285	240.024	403.743	392.557	391.924
00:06:00	39.521	42.737	46.018	94.688	102.534	102.879	225.18	229.75	233.695	398.786	385.113	385.202
00:06:30	38.679	43.304	45.824	94.584	102.947	103.795	227.029	230.43	234.379	403.222	388.291	390.769
00:07:00	38.91	41.931	45.71	93.324	101.112	101.208	223.187	227.375	231.807	399.029	383.938	386.774
00:07:30	37.924	41.599	43.947	92.548	100.821	102.314	223.983	227.737	233.174	398.272	383.279	384.778
00:08:00	37.057	41.14	42.467	90.49	97.117	98.676	221.178	224.888	229.583	399.274	378.488	382.935
00:08:30	36.972	40.63	42.456	90.124	97.109	97.608	221.008	225.95	227.763	400.315	378.325	381.779
00:09:00	37.455	39.46	41.986	89.69	97.197	98.445	221.536	225.099	228.237	399.045	380.559	383.548
00:09:30	36.278	39.221	42.501	89.458	95.824	97.351	220.273	223.945	228.293	397.419	379.452	382.163
00:10:00	36.305	39.261	40.159	88.636	96.423	95.937	220.702	224.725	229.224	397.067	379.192	382.793
00:10:30	35.408	38.544	40.655	87.879	95.004	95.735	218.25	222.396	226.634	394.946	376.999	381.388
00:11:00	35.108	38.438	40.051	86.57	94.385	94.909	218.03	222.154	225.718	391.986	376.488	379.282
