Time	50_1	50_2	50_3	100_1	100_2	100_3
00:00:00	139.024	143.667	138.778	273.088	265.333	289.085
00:00:30	132.02	138.813	129.993	257.323	249.791	276.005
00:01:00	128.161	134.198	126.11	251.69	240.968	266.137
00:01:30	123.642	130.844	123.114	242.669	236.487	260.118
00:02:00	120.139	127.916	120.992	236.407	227.702	252.037
00:02:30	116.327	124.967	117.054	228.77	225.35	249.542
00:03:00	115.428	124.199	116.231	227.031	220.403	238.674
00:03:30	111.459	118.668	111.192	223.566	214.283	237.076
00:04:00	109.098	118.53	108.139	219.107	212.329	236.126
00:04:30	108.144	115.295	107.408	213.884	212.071	230.571
00:05:00	105.467	112.464	104.21	208.278	207.396	224.106
00:05:30	104.064	110.312	103.013	207.557	205.148	223.519
00:06:00	100.308	108.792	99.091	202.112	200.432	218.3
00:06:30	98.931	107.03	98.586	202.658	197.194	218.978
00:07:00	99.598	106.458	96.362	200.438	196.24	214.332
00:07:30	97.367	104.689	95.702	197.923	192.939	215.248
00:08:00	96.041	103.051	93.425	198.319	190.973	209.529
00:08:30	96.298	101.705	93.449	194.739	191.296	211.205
00:09:00	94.791	100.935	92.839	196.352	190.336	207.462
00:09:30	94.47	99.104	90.91	196.274	189.531	208.521
00:10:00	93.482	98.338	90.799	196.259	187.081	207.484
00:10:30	89.984	98.289	89.095	194.683	185.23	204.174
00:11:00	89.582	96.859	88.139	195.314	182.89	203.279
00:11:30	90.191	94.595	89.053	192.175	184.155	202.008
00:12:00	88.623	93.333	87.58	190.644	181.904	200.247
00:12:30	87.39	89.787	86.991	189.972	179.571	199.3
00:13:00	87.636	88.646	86.369	189.446	180.789	197.78
00:13:30	85.973	88.757	84.175	188.339	180.21	199.784
00:14:00	85.98	87.872	84.745	189.233	180.191	197.372
00:14:30	83.271	86.814	83.878	186.38	178.59	196.337
00:15:00	84.022	86.927	83.006	191.062	178.303	199.663
00:15:30	84.407	86.061	83.398	188.985	178.962	195.547
00:16:00	81.11	86.322	82.84	186.134	174.489	195.399
00:16:30	83.378	85.434	82.299	187.508	177.319	194.885
00:17:00	84.052	84.137	82.81	186.047	176.012	194.539
00:17:30	82.885	83.543	80.533	187.719	175.173	192.852
00:18:00	80.931	83.627	81.582	187.206	175.621	192.465
00:18:30	80.874	82.213	81.945	185.373	174.358	193.289
00:19:00	81.681	81.808	81.533	187.268	176.837	189.944
00:19:30	80.973	82.285	78.931	183.696	175.505	188.925
00:20:00	81.601	81.084	79.954	186.051	173.405	190.58
00:20:30	80.403	83.264	80.069	185.289	171.767	189.185
00:21:00	79.704	79.715	77.637	184.639	171.983	188.473
00:21:30	79.023	81.507	79.015	185.784	173.995	189.259
00:22:00	79.941	80.792	79.38	183.191	171.609	186.736
00:22:30	78.446	79.774	78.315	182.647	170.354	188.056
00:23:00	79.378	82.539	79.028	185.31	171.696	187.299
00:23:30	77.715	79.932	78.165	182.804	168.921	187.469
00:24:00	79.33	79.725	77.101	184.741	171.092	186.695
00:24:30	76.765	79.384	77.31	183.155	168.41	184.898
00:25:00	77.639	79.401	77.048	182.599	169.183	183.358
00:25:30	76.816	78.656	76.96	181.605	167.589	181.756
00:26:00	77.927	78.211	76.593	181.527	167.827	182.231
00:26:30	77.882	79.312	77.215	181.421	169.697	182.891
00:27:00	77.333	79.221	76.237	182.246	166.869	181.871
00:27:30	76.708	78.762	76.915	181.826	165.687	181.599
00:28:00	78.298	78.059	75.249	179.197	165.153	179.523
00:28:30	77.548	78.336	75.053	181.151	164.917	181.543
00:29:00	76.898	78.003	75.646	179.478	167.643	178.375
00:29:30	76.43	78.067	76.072	177.714	164.947	178.513
00:30:00	76.64	78.128	75.663	180.24	166.13	179.053
00:30:30	77.603	76.823	74.633	175.154	166.632	179.117
00:31:00	75.835	77.057	74.853	176.971	166.541	176.999
00:31:30	76.683	76.778	74.896	177.491	168.39	176.808
00:32:00	75.028	77.365	75.558	178.029	167.943	177.044
00:32:30	74.996	76.02	73.491	176.019	166.302	173.05
00:33:00	74.313	76.752	73.789	174.623	167.373	173.404
00:33:30	74.451	74.999	73.349	175.521	167.611	174.45
00:34:00	73.714	77.195	73.2	173.628	166.223	171.943
00:34:30	75.846	76.81	73.789	175.454	167.395	173.637
00:35:00	75.098	75.578	73.352	174.174	165.653	173.256
00:35:30	74.224	75.659	74.039	172.351	168.355	172.115
00:36:00	75.256	76.73	74.465	172.477	166.142	172.518
00:36:30	74.854	75.131	73.802	171.521	164.972	172.549
00:37:00	73.989	76.07	73.133	173.327	165.769	173.346
00:37:30	75.309	76.027	72.995	170.359	166.964	175.059
00:38:00	73.866	75.726	72.697	172.602	167.049	175.159
00:38:30	74.351	74.621	72.978	169.027	168.511	175.438
00:39:00	73.551	74.994	72.91	169.477	165.345	177.988
00:39:30	74.375	75.599	73.993	169.788	165.04	175.961
00:40:00	73.687	75.251	72.217	171.875	167.236	179.798
00:40:30	74.03	75.097	72.114	171.399	167.468	178.381
00:41:00	74.024	74.659	72.89	169.217	164.995	177.133
00:41:30	73.322	75.583	71.336	169.859	166.149	175.529
00:42:00	75.021	73.545	73.184	167.651	162.785	176.143
00:42:30	74.043	74.872	72.739	168.904	162.687	176.372
00:43:00	72.94	73.993	71.492	167.387	162.871	173.317
00:43:30	72.936	73.931	70.341	167.55	162.293	174.963
00:44:00	73.202	75.133	72.242	169.589	163.263	176.404
00:44:30	72.403	74.921	72.46	169.126	163.013	175.518
00:45:00	72.689	74.654	72.195	168.823	163.239	174.317
00:45:30	73.364	73.553	72.047	168.947	162.022	173.958
00:46:00	73.761	74.975	70.835	168.961	161.709	175.701
00:46:30	73.871	73.903	70.697	169.802	162.953	174.85
00:47:00	73.681	74.594	71.4	168.757	162.236	174.145
00:47:30	72.295	73.785	70.219	167.213	163.452	173.286
00:48:00	72.836	74.422	71.127	166.054	161.9	174.172
00:48:30	72.047	76.032	71.329	168.546	161.586	172.553
00:49:00	72.137	74.445	71.689	167.059	162.702	172.598
00:49:30	73.279	73.624	71.964	165.699	161.259	173.026
00:50:00	72.57	73.157	71.936	163.695	160.724	172.605
00:50:30	71.428	72.872	70.654	164.685	158.711	175.244
00:51:00	71.581	74.54	71.747	165.343	160.16	173.265
00:51:30	72.011	73.275	71.275	163.588	158.379	170.651
00:52:00	72.362	72.811	71.762	165.06	160.691	170.428
00:52:30	72.001	73.276	69.762	163.341	159.663	171.13
00:53:00	71.219	74.102	70.856	163.688	157.855	170.856
00:53:30	72.497	74.445	70.753	166.195	160.412	171.875
00:54:00	72.468	74.092	71.248	164.166	158.545	170.917
00:54:30	71.776	72.775	70.641	164.38	157.987	171.088
00:55:00	71.856	73.614	71.341	163.56	157.778	169.902
00:55:30	72.706	73.129	70.285	162.595	159.647	170.811
00:56:00	71.767	73.471	69.391	162.16	159.231	171.334
00:56:30	71.393	72.695	70.319	162.105	158.371	169.884
00:57:00	71.981	73.057	70.812	163.165	158.438	172.248
00:57:30	71.449	74.13	69.174	160.616	159.144	171.881
00:58:00	72.316	75.362	70.741	162.056	158.699	170.671
00:58:30	71.201	73.636	69.547	161.489	157.236	170.232
00:59:00	71.902	72.968	69.543	158.545	156.535	169.729
00:59:30	71.084	72.715	70.11	160.664	158.451	171.475
