Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	69.431	65.272	51.57	145.829	146.386	143.296	313.96	304.187	297.659	440.24	439.146	439.913
00:00:30	64.237	60.679	50.104	140.345	141.476	135.504	299.145	294.823	282.286	420.94	421.688	424.525
00:01:00	63.923	59.735	47.956	135.997	138.972	131.772	298.101	286.532	277.485	416.343	417.098	418.066
00:01:30	60.113	57.188	46.143	131.936	136.339	125.887	291.416	281.211	273.631	412.474	410.16	409.985
00:02:00	59.308	54.328	44.388	129.069	132.139	121.581	284.85	274.981	264.426	404.977	400.849	399.343
00:02:30	57.094	53.458	44.763	125.959	129.954	120.839	280.573	270.482	262.104	402.412	400.046	401.988
00:03:00	55.504	52.225	43.256	122.597	127.554	117.492	278.079	268.302	257.967	399.592	397.624	396.056
00:03:30	53.711	50.607	41.73	121.341	125.257	114.464	272.063	260.635	251.439	391.801	389.414	386.06
00:04:00	52.925	49.71	39.993	118.546	123.887	113.051	270.374	260.002	249.969	395.474	387.701	386.337
00:04:30	51.147	48.432	39.121	117.949	122.069	110.305	265.622	257.459	246.205	389.484	387.379	385.175
00:05:00	51.317	46.911	38.379	115.078	119.299	107.205	265.121	253.044	245.448	386.57	385.51	382.271
00:05:30	48.854	46.008	38.141	114.186	117.953	109.972	262.689	252.589	243.517	386.33	387.055	382.935
00:06:00	47.375	45.286	37.167	112.477	115.701	105.867	259.678	248.885	238.785	381.792	382.59	381.208
00:06:30	47.583	44.365	36.966	110.427	116.233	105.141	261.41	250.762	240.02	381.629	383.986	378.306
00:07:00	45.906	43.481	35.676	109.038	113.298	103.968	257.711	247.452	237.984	380.091	382.627	376.286
00:07:30	45.812	42.777	34.974	108.225	113.213	101.731	255.936	247.713	239.893	380.504	381.805	375.695
00:08:00	43.817	41.871	34.022	104.776	111.712	100.241	253.529	242.649	236.072	375.539	378.064	376.361
00:08:30	43.339	41.194	33.735	106.917	110.494	100.385	251.929	245.917	233.49	378.081	377.076	374.858
00:09:00	42.609	40.314	34.473	105.685	108.122	98.61	252.094	242.488	235.902	380.111	378.17	374.641
00:09:30	42.096	39.961	33.16	105.724	107.11	99.113	252.36	245.614	233.075	380.027	378.29	376.464
00:10:00	41.365	38.531	32.793	104.241	105.755	97.574	252.039	240.983	232.72	376.76	375.493	374.561
00:10:30	41.039	38.156	32.208	102.716	104.546	96.942	253.164	242.691	231.243	378.126	375.541	373.838
00:11:00	39.779	37.985	31.454	103.501	103.889	95.192	248.666	240.527	231.309	376.893	376.626	374.263
00:11:30	39.279	37.737	31.574	102.396	101.672	96.074	250.081	237.897	231.014	377.625	376.519	374.922
00:12:00	38.774	36.323	30.855	99.677	99.694	93.228	246.297	236.942	228.549	373.014	373.291	369.63
00:12:30	38.866	37.563	31.181	100.904	98.38	91.383	247.387	236.54	229.443	374.033	373.188	372.495
00:13:00	38.413	35.56	29.789	99.294	96.302	91.632	246.457	237.206	227.318	371.947	372.896	371.071
00:13:30	37.908	35.583	29.555	99.123	95.577	91.411	247.219	237.15	229.32	375.15	372.774	371.096
00:14:00	37.217	35.002	28.858	97.263	95.698	91.646	246.867	237.91	227.579	370.546	372.821	369.053
00:14:30	36.864	34.765	28.548	98.13	95.578	90.913	244.573	233.089	226.164	370.421	370.427	368.027
00:15:00	36.463	35.648	29.236	95.441	96.03	90.595	247.168	235.84	229.085	375.27	372.49	371.881
00:15:30	37.099	34.461	28.714	95.104	94.349	91.2	245.793	235.689	228.547	372.645	373.449	371.911
00:16:00	35.803	34.495	28.088	94.673	94.25	90.01	244.543	233.777	225.896	372.177	368.634	369.984
00:16:30	35.304	33.51	28.32	93.246	92.119	88.632	244.1	235.008	227.052	369.614	370.153	368.244
00:17:00	35.365	33.983	27.548	94.342	93.254	89.172	247.091	232.505	226.154	372.794	372.195	370.5
00:17:30	35.221	32.819	27.019	92.317	90.176	87.929	242.799	235.997	224.924	371.343	370.945	366.216
00:18:00	35.145	33.244	27.97	92.368	90.854	87.964	243.344	234.675	224.479	370.519	373.098	367.482
00:18:30	33.857	32.917	26.911	90.216	88.768	87.321	240.732	230.256	221.898	369.399	371.625	366.464
00:19:00	34.741	32.553	27.072	89.906	89.218	88.145	242.343	231.278	226	372.395	367.909	370.081
00:19:30	34.456	32.35	26.275	89.28	87.915	86.8	239.581	230.407	222.499	366.714	368.46	365.382
00:20:00	33.753	32.191	26.207	88.607	87.276	86.793	240.81	232.237	224.062	370.148	370.131	365.439
00:20:30	33.697	31.447	25.609	88.556	87.13	86.616	240.616	231.601	222.884	367.868	369.213	365.548
00:21:00	32.938	31.578	26.025	86.31	87.309	86.862	237.917	230.666	220.618	363.158	364.74	361.994
00:21:30	33.28	31.725	25.567	88.421	86.025	87.17	242.035	230.401	225.061	369.756	367.085	366.096
00:22:00	33.151	31.285	26.03	86.742	87.638	87.095	240.538	229.453	222.964	366.066	370.617	365.201
00:22:30	32.475	31.401	25.122	85.158	85.526	85.462	238.942	228.079	221.533	366.807	363.86	366.04
00:23:00	33.544	31.882	25.197	87.061	86.117	86.863	239.68	230.71	221.714	374.181	371.825	367.142
00:23:30	32.416	31.434	25.018	85.901	85.264	85.331	237.271	229.664	221.19	367.238	365.413	363.551
00:24:00	32.14	31.197	25.215	85.669	85.825	86.261	239.115	231.287	220.636	367.139	367.694	363.282
00:24:30	31.886	30.83	24.389	85.813	85.71	85.195	234.79	229.269	221	366.333	365.957	361.176
00:25:00	32.719	30.633	24.99	85.324	83.87	85.657	238.618	228.809	220.601	367.71	366.068	362.883
00:25:30	32.348	30.669	24.57	84.253	83.782	84.933	235.87	228.231	219.248	365.363	363.533	361.609
00:26:00	31.04	30.575	24.501	84.093	83.693	85.014	237.293	228.303	218.8	361.599	365.652	363.528
00:26:30	31.853	30.511	24.144	83.003	85.301	83.6	239.102	230.008	223.348	370.538	368.797	362.05
00:27:00	32.12	29.383	24.81	85.718	83.949	85.682	237.246	228.203	221.641	366.106	368.682	363.245
00:27:30	31.048	29.799	24.248	83.331	84.011	83.555	234.388	226.616	217.609	366.532	363.242	359.579
00:28:00	30.41	29.167	24.253	83.635	84.057	84.057	233.535	227.981	220.319	365.584	363.97	354.861
00:28:30	30.71	29.904	23.788	83.633	82.419	84.221	236.192	227.687	218.029	363.873	362.058	356.27
00:29:00	30.569	29.289	23.788	83.028	83.315	83.888	232.973	229.873	218.945	365.909	363.828	356.767
00:29:30	30.804	29.833	23.224	83.345	83.519	83.363	234.913	228.403	218.669	364.109	365.476	356.61
00:30:00	30.406	30.062	23.702	83.329	83.14	83.254	234.377	228.874	219.92	368.197	365.032	357.712
00:30:30	30.446	29.247	23.892	82.835	82.714	83.703	233.841	227.515	219.921	363.225	361.685	357.549
00:31:00	30.331	29.196	23.83	81.845	83.244	83.428	232.06	224.987	219.444	364.453	363.52	354.133
00:31:30	30.011	29.088	23.236	82.574	84.096	83.277	234.259	226.449	218.196	362.125	361.263	350.939
00:32:00	30.743	28.995	23.122	83.759	84.065	84.128	235.149	225.629	221.159	364.108	363.98	352.767
00:32:30	30.236	28.914	23.665	81.685	82.652	84.111	233.856	227.505	216.111	363.376	362.712	351.754
00:33:00	30.397	28.995	23.263	82.311	82.723	83.057	232.155	226.132	217.248	360.049	364.34	351.514
00:33:30	29.971	27.972	22.84	82.53	84.293	83.156	232.601	223.107	216.759	362.596	361.78	352.224
00:34:00	30.216	29.02	23.183	81.253	82.415	83.15	231.21	222.826	217.983	359.202	361.309	348.405
00:34:30	29.439	27.994	23.256	80.967	83.061	83.078	231.574	222.869	216.587	361.828	359.26	351.122
00:35:00	29.223	28.362	23.297	81.351	82.016	82.86	232.59	221.941	217.082	361.26	359.077	348.548
00:35:30	30.02	27.835	22.875	82.533	82.966	83.723	232.074	222.064	216.603	362.289	360.573	347.754
00:36:00	28.866	27.953	23.125	82.089	83.069	82.1	229.937	220.478	218.494	359.183	355.829	344.626
00:36:30	28.94	27.767	23.132	82.079	82.658	82.692	229.197	219.647	216.072	360.235	357.239	346.906
00:37:00	29.131	28.381	23.245	81.838	82.125	82.549	226.501	221.764	215.012	357.181	353.703	346.92
00:37:30	29.024	27.521	23.467	81.844	81.35	83.484	229.895	219.287	217.687	359.996	358.151	343.389
00:38:00	29.722	27.689	22.435	81.897	82.764	80.999	230.686	218.898	216.772	359.511	358.539	343.896
00:38:30	29.176	27.299	23.254	80.722	82.299	83.72	232.265	218.29	216.269	356.908	356.588	343.319
00:39:00	29.119	28.318	22.45	81.767	83.326	83.311	229.116	218.36	217.255	355.746	357.155	344.77
00:39:30	28.742	27.434	22.923	82.917	81.963	82.654	228.741	215.869	215.812	356.071	355.683	341.72
00:40:00	29.886	27.803	22.478	83.565	83.322	82.641	229.605	218.171	217.405	357.765	355.205	345.061
00:40:30	29.173	27.18	22.879	81.426	83.045	82.359	228.675	217.051	215.771	354.971	354.481	343.685
00:41:00	28.701	27.125	22.682	82.531	82.037	81.396	228.733	214.011	213.95	354.099	351.058	341.061
00:41:30	29.388	26.752	22.025	81.233	83.729	81.931	226.451	213.13	214.205	355.811	351.02	337.991
00:42:00	29.369	27.219	22.142	80.52	83.146	81.832	227.08	211.977	214.807	353.006	351.064	339.837
00:42:30	29.031	26.028	22.222	80.794	82.373	81.037	224.37	210.564	212.837	350.777	350.082	335.536
00:43:00	27.994	26.324	21.648	80.474	82.454	80.206	223.648	210.929	211.208	348.845	349.445	333.919
00:43:30	28.323	26.668	21.781	81.561	82.33	81.177	223.867	208.32	212.097	352.262	347.067	335.109
00:44:00	28.007	26.585	22.27	81.518	81.938	80.884	225.302	210.301	212.423	353.324	349.408	334.947
00:44:30	28.626	26.475	22.084	80.966	82.836	81.566	224.167	210.812	214.118	352.048	349.937	338.542
00:45:00	28.31	26.295	21.764	81.8	81.888	80.871	224.655	208.503	212.166	351.103	349.607	335.589
00:45:30	28.463	26.818	21.342	80.895	82.257	81.587	224.119	208.945	211.066	348.939	350.243	330.603
00:46:00	28.043	26.906	22.413	81.373	81.554	82.174	227.06	208.392	213.244	350.85	348.58	334.137
00:46:30	28.025	26.916	22.139	80.954	82.317	81.359	224.084	207.525	212.348	350.134	346.585	331.658
00:47:00	28.349	26.725	21.629	82.195	82.989	81.322	225.312	208.344	210.94	347.932	345.416	331.774
00:47:30	27.748	26.094	21.932	80.664	82.02	81.868	224.466	205.474	211.501	346.487	348.717	329.832
00:48:00	28.041	26.537	21.98	81.22	81.388	81.213	223.088	205.725	211.24	346.281	345.307	327.764
00:48:30	28.161	26.148	21.525	81.35	82.127	81.379	222.848	203.296	210.375	344.525	343.532	327.404
00:49:00	28.481	25.765	21.961	80.177	81.505	81.419	222.436	206.183	209.82	348.453	343.213	326.527
00:49:30	28.277	26.141	21.597	79.914	82.522	80.407	222.555	202.865	207.928	344.448	342.433	326.09
00:50:00	27.743	26.121	22.117	79.614	81.942	79.942	220.853	204.161	208.553	344.644	341.124	323.927
00:50:30	28.309	26.314	20.827	80.934	82.336	81.329	223.192	202.173	208.623	346.863	344.197	325.195
00:51:00	28.272	25.872	21.64	79.439	81.877	81.667	221.942	202.445	208.555	342.773	343.888	326.38
00:51:30	27.348	25.911	21.094	80.69	81.787	80.757	219.689	201.488	207.552	341.022	341.741	322.813
00:52:00	27.994	25.996	22.033	80.989	81.06	82.195	222.67	202.376	209.977	344.048	343.292	323.629
00:52:30	28.044	25.62	21.603	80.391	82.266	80.928	218.824	199.016	206.841	342.556	338.609	320.679
00:53:00	27.373	25.706	21.319	81.158	82.48	81.318	223.261	201.291	207.495	342.16	342.907	322.267
00:53:30	27.575	26.092	21.273	81.084	82.748	81.177	221.131	198.641	208.332	341.697	341.752	320.844
00:54:00	27.434	25.689	22.105	80.734	81.608	80.93	219.586	196.428	206.564	341.181	339.442	318.369
00:54:30	27.163	25.996	20.854	79.415	81.771	80.425	219.666	194.983	204.389	339.205	338.47	314.593
00:55:00	27.334	25.651	21.081	81.127	81.812	81.139	218.982	194.816	204.146	339.53	337.953	316.872
00:55:30	27.933	25.723	21.355	81.463	81.845	82.073	221.205	198.067	207	339.692	339.717	317.677
00:56:00	27.033	24.884	21.018	80.771	81.757	81.398	221.061	194.73	206.049	337.935	337.788	314.901
00:56:30	27.382	25.114	21.154	80.806	80.995	80.908	219.124	193.789	202.28	337.799	335.395	314.977
00:57:00	28.029	25.129	21.48	80.726	82.356	81.054	220.84	193.483	206.24	337.394	339.391	314.972
00:57:30	27.813	25.024	21.26	80.938	82.695	81.712	218.616	193.534	204.055	337.56	336.442	313.198
00:58:00	27.609	25.18	20.911	81.174	82.79	81.979	220.547	193.892	205.6	338.359	336.092	313.313
00:58:30	27.009	25.381	20.697	80.018	81.645	80.691	218.965	191.313	201.971	338.105	336.02	313.275
00:59:00	27.596	25.081	20.562	81.364	83.547	80.154	220.886	189.544	203.699	339.343	333.619	310.176
00:59:30	26.872	25.69	21.251	80.714	83.324	82.002	218.399	194.128	205.257	335.901	336.676	313.083
