Time	50_1	50_2	50_3	100_1	100_2	100_3
00:00:00	145.84	142.039	123.839	289.729	285.815	289.788
00:00:30	135.955	131.426	112.784	271.76	272.758	273.232
00:01:00	130.837	127.955	108.962	265.341	264.205	266.606
00:01:30	127.842	124.491	106.297	254.761	255.202	257.675
00:02:00	123.286	120.109	104.368	245.493	245.919	246.539
00:02:30	120.002	118.417	101.043	238.723	239.23	243.488
00:03:00	117.554	117.296	97.684	234.962	233.507	239.074
00:03:30	112.861	111.388	95.66	226.398	230.373	231.278
00:04:00	111.291	111.321	94.642	225.023	228.339	229.662
00:04:30	110.385	109.486	92.667	224.024	226.704	227.17
00:05:00	106.921	105.723	90.173	218.583	224.745	220.858
00:05:30	105.166	105.306	88.516	218.875	219.899	219.442
00:06:00	104.268	102.245	86.743	212.373	216.635	217.282
00:06:30	102.359	102.024	86.347	213.61	220.436	214.872
00:07:00	100.565	101.651	84.86	211.296	214.499	211.943
00:07:30	98.712	100.183	84.268	211.449	211.035	211.242
00:08:00	98.189	97.296	81.47	208.834	209.186	209.462
00:08:30	96.104	97.541	81.453	208.545	210.999	206.45
00:09:00	95.943	93.702	79.26	208.307	211.537	205.726
00:09:30	96.757	96.267	79.652	206.811	209.513	204.609
00:10:00	94.297	93.167	77.45	206.494	206.663	203.28
00:10:30	92.517	92.6	78.177	204.246	208.096	202.104
00:11:00	93.449	91.306	76.712	203.016	206.805	201.39
00:11:30	92.05	92.228	75.372	204.675	202.196	200.128
00:12:00	90.301	89.646	74.353	203.673	202.674	200.376
00:12:30	88.225	90.133	74.129	202.624	204.282	199.107
00:13:00	87.969	87.458	73.336	200.97	200.415	198.221
00:13:30	87.816	86.619	73.059	199.498	201.154	199.947
00:14:00	86.878	85.323	71.586	199.665	201.336	196.839
00:14:30	87.037	86.742	71.48	198.189	199.748	195.167
00:15:00	86.312	85.649	71.51	198.729	199.925	196.941
00:15:30	83.734	84.505	69.66	197.613	197.051	195.371
00:16:00	84.822	85.863	69.972	196.042	198.453	195.273
00:16:30	83.971	84.334	68.71	196.167	196.727	193.924
00:17:00	83.376	84.783	69.01	196.159	196.846	195.307
00:17:30	82.859	84.052	68.597	195.997	195.878	191.432
00:18:00	83.219	84.229	67.14	195.566	193.826	192.93
00:18:30	81.761	81.376	66.26	192.581	194.667	192.362
00:19:00	81.92	80.019	66.13	194.438	195.219	191.847
00:19:30	80.688	79.699	66.265	194.372	193.044	191.111
00:20:00	80.912	81.849	65.869	191.882	194.569	192.58
00:20:30	81.558	79.58	64.45	191.84	192.141	190.767
00:21:00	79.536	80.838	65.322	189.466	189.683	189.509
00:21:30	80.296	79.952	64.587	191.28	192.373	190.242
00:22:00	78.281	77.3	65.351	189.564	191.787	190.194
00:22:30	79.039	79.903	63.582	188.019	191.922	189.685
00:23:00	79.352	79.448	64.84	189.147	191.97	188.864
00:23:30	78.247	78.598	63.024	186.445	189.336	186.622
00:24:00	78.401	80.353	63.306	186.159	190.513	189.024
00:24:30	79.055	78.398	64.237	185.553	189.659	187.007
00:25:00	76.976	78.407	63.328	186.105	190.127	186.788
00:25:30	77.334	77.229	62.269	183.462	187.168	186.822
00:26:00	76.717	76.976	62.389	182.845	189.138	185.211
00:26:30	77.73	76.863	62.528	183.155	188.991	189.668
00:27:00	78.091	77.495	62.22	182.128	189.269	186.191
00:27:30	76.316	76.707	61.284	180.385	186.868	185.745
00:28:00	76.533	76.438	61.631	179.491	186.127	184.613
00:28:30	76.139	75.715	61.065	178.099	185.656	185.512
00:29:00	76.058	74.988	62.331	177.502	188.724	183.717
00:29:30	76.406	77.065	62.252	176.017	184.823	181.553
00:30:00	75.615	77.247	60.706	176.086	185.668	183.588
00:30:30	75.526	75.146	60.7	176.292	184.745	182.843
00:31:00	75.147	74.714	61.395	177.075	183.508	183.938
00:31:30	74.626	75.183	61.126	176.042	184.879	182.853
00:32:00	75.71	77.093	60.837	176.124	186.3	184.302
00:32:30	75.119	75.741	59.715	173.648	183.001	181.963
00:33:00	75.565	75.652	60.283	175.293	183.934	181.773
00:33:30	74.526	74.464	59.387	174.713	181.695	180.996
00:34:00	74.953	74.286	58.521	171.42	182.1	181.765
00:34:30	75.39	74.965	59.716	173.679	180.308	181.218
00:35:00	75.483	74.653	58.602	174.12	180.63	179.932
00:35:30	74.278	75.456	58.49	173.943	181.241	181.816
00:36:00	75.347	73.55	59.469	172.342	181.053	179.502
00:36:30	74.752	72.671	58.886	171.984	179.811	180.792
00:37:00	74.257	73.642	58.991	173.035	181.748	179.632
00:37:30	73.408	74.682	59.25	173.124	180.155	177.969
00:38:00	75.312	73.585	58.701	171.682	179.714	180.281
00:38:30	74.426	73.477	58.375	175.066	179.235	181.991
00:39:00	74.294	74.068	58.449	173.724	178.505	180.133
00:39:30	74.324	73.771	58.442	172.213	177.672	179.786
00:40:00	74.332	75.147	58.295	173.191	179.743	180.898
00:40:30	73.493	74.251	59.057	171.764	180.475	180.689
00:41:00	73.84	72.329	58.472	171.976	178.908	177.823
00:41:30	72.667	71.836	56.898	171.644	178.677	178.972
00:42:00	73.137	72.055	57.159	171.297	180.323	179.402
00:42:30	74.661	72.187	57.187	169.151	177.719	176.894
00:43:00	72.09	71.352	57.396	170.692	176.813	177.35
00:43:30	72.087	73.396	57.92	169.82	176.575	178.657
00:44:00	73.444	73.414	58.646	170.22	177.511	178.718
00:44:30	72.735	72.288	56.451	171.562	178.401	178.322
00:45:00	73.587	72.807	57.44	169.28	176.127	176.391
00:45:30	72.698	71.34	56.042	170.293	177.905	178.253
00:46:00	72.994	72.961	56.64	170.608	178.83	178.873
00:46:30	72.631	72.996	57.305	170.032	178.448	176.954
00:47:00	72.651	71.387	56.493	168.994	177.577	177.117
00:47:30	72.264	72.182	57.275	169.966	176.628	177.312
00:48:00	72.361	71.036	56.967	167.18	177.526	174.767
00:48:30	71.727	71.757	56.64	170.008	176.559	176.991
00:49:00	73.19	70.896	56.415	167.61	177.395	175.135
00:49:30	72.093	71.108	56.007	167.007	175.676	178.388
00:50:00	71.457	69.903	55.191	167.247	176.886	175.82
00:50:30	71.713	72.297	55.492	166.898	175.653	176.309
00:51:00	71.809	72.286	55.832	166.312	177.798	176.579
00:51:30	70.651	71.415	56.316	163.954	175.246	175.189
00:52:00	71.989	70.186	56.631	166.88	178.153	175.87
00:52:30	72.271	71.989	56.281	167.333	174.11	173.815
00:53:00	72.08	71.886	56.531	166.901	176.786	177.719
00:53:30	72.416	71.007	56.175	167.229	176.391	175.538
00:54:00	71.445	69.042	55.53	166.819	174.61	176.685
00:54:30	70.819	69.953	55.813	165.242	176.56	173.927
00:55:00	72.553	71.905	56.188	167.118	176.044	176.119
00:55:30	72.426	69.66	55.851	165.642	175.916	175.031
00:56:00	72.133	70.266	55.582	166.98	174.597	175.455
00:56:30	70.197	70.165	56.176	167.532	173.822	174.817
00:57:00	70.583	70.263	56.271	165.647	174.561	176.558
00:57:30	71.617	70.079	55.016	164.953	174.238	175.167
00:58:00	70.911	69.383	55.466	163.975	175.698	177.071
00:58:30	71.276	70.347	55.563	164.522	172.163	175.612
00:59:00	69.975	69.996	55.059	164.164	173.311	177.237
00:59:30	71.144	70.682	55.242	164.09	175.643	174.513
