Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	90.309	89.581	101.294	149.865	152.607	151.819	290.686	283.875	293.983	411.963	421.905	427.63
00:00:30	92.14	87.887	95.936	143.23	144.645	143.645	288.497	275.795	288.259	402.64	414.165	420.204
00:01:00	81.412	79.014	86.217	140.783	142.952	143.468	279.546	271.406	279.128	395.806	408.734	411.759
00:01:30	74.913	75.327	81.294	136.622	140.769	139.823	271.803	262.103	271.629	387.501	398.988	402.285
00:02:00	73.21	72.612	76.317	133.869	138.172	135.176	262.838	258.868	266.821	383.074	391.864	401.072
00:02:30	69.626	71.571	73.322	131.558	135.082	133.595	258.065	251.565	258.903	380.35	393.302	397.111
00:03:00	67.916	69.797	71.245	127.15	130.439	129.785	251.123	244.104	250.685	374.489	384.4	388.837
00:03:30	65.482	68.082	70.118	125.253	125.795	127.755	246.815	244.486	248.296	369.963	385.79	385.943
00:04:00	65.397	65.515	68.546	122.19	122.756	126.379	244.493	238.14	244.001	369.195	382.221	384.62
00:04:30	64.255	64.589	66.315	120.131	122.264	122.537	236.22	234.89	236.86	369.551	379.627	383.536
00:05:00	62.814	63.551	66.258	119.017	119.102	121.323	231.441	232.342	232.383	367.719	378.597	382.928
00:05:30	61.058	62.268	64.813	115.307	117.515	119.802	229.627	229.845	231.984	367.815	375.765	381.641
00:06:00	59.863	60.96	61.823	115.082	115.015	118.466	227.188	227.698	228.569	362.478	376.843	382.084
00:06:30	57.802	58.564	61.158	111.385	112.438	115.757	222.245	226.245	226.623	362.931	371.134	377.996
00:07:00	57.528	57.135	60.082	108.639	111.005	113.814	222.32	222.088	223.906	362.937	373.409	377.375
00:07:30	56.996	56.202	57.744	109.008	109.543	112.366	219.904	220.929	222.112	362.16	370.839	376.659
00:08:00	55.41	54.697	56.562	107.752	107.272	110.942	217.764	215.55	218.93	359.985	367.05	371.656
00:08:30	53.743	54.472	54.975	106.319	106.376	109.214	216.227	211.211	219.85	357.922	370.931	372.237
00:09:00	53.558	52.605	54.062	104.615	105.531	108.536	214.036	209.365	217.873	355.886	368.393	373.449
00:09:30	52.46	51.652	53.372	103.668	104.232	106.926	213.899	211.91	219.039	356.25	366.974	372.357
00:10:00	52.531	50.603	52.157	103.215	103.107	108.823	211.175	211.086	216.434	355.119	367.8	372.559
00:10:30	50.764	48.573	51.656	102.202	102.667	105.409	213.881	208.698	214.806	354.43	367.059	371.484
00:11:00	50.008	47.63	50.434	100.375	102.675	105.386	210.307	207.424	212.435	351.778	363.181	370.009
00:11:30	49.446	46.901	49.558	97.837	99.691	105.02	210.513	206.033	213.169	349.852	362.88	368.503
00:12:00	48.142	46.279	47.978	96.309	98.739	101.795	209.966	204.775	211.196	348.383	364.489	362.648
00:12:30	48.03	45.6	47.896	96.677	98.967	100.782	206.96	202.972	211.082	350.06	362.703	360.683
00:13:00	46.543	44.465	47.638	96.221	98.563	101.956	207.09	204.654	208.349	350.008	360.376	364.69
00:13:30	47.165	43.262	46.455	95.222	97.509	100.17	207.156	202.748	208.054	346.102	361.046	363.369
00:14:00	44.796	43.528	45.536	93.277	96.379	97.153	207.365	201.039	207.57	346.313	353.832	360.901
00:14:30	45.769	42.578	45.422	93.622	96.98	99.231	203.632	202.359	208.956	351.239	358.493	361.501
00:15:00	44.922	41.699	44.755	92.355	93.443	97.155	201.196	201.052	206.497	348.481	353.387	355.463
00:15:30	44.497	41.683	43.342	91.798	93.825	97.262	200.406	198.993	206.355	344.44	351.933	358.115
00:16:00	44.09	41.914	43.712	90.867	94.862	96.207	200.47	198.667	207.316	348.35	356.896	356.289
00:16:30	43.425	40.701	43.279	90.792	91.264	94.316	200.801	200.163	204.61	343.578	353.969	355.042
00:17:00	42.943	39.544	42.059	89.665	91.267	94.794	198.881	196.787	203.789	343.958	350.586	358.609
00:17:30	42.086	39.673	41.097	89.925	91.812	92.204	199.836	196.682	201.308	339.521	345.332	354.478
00:18:00	41.7	38.767	40.667	89.117	90.606	92.828	196.166	194.895	201.581	339.695	347.161	348.955
00:18:30	41.046	37.842	40.155	87.958	89.942	91.265	197.945	195.377	201.869	338.079	345.877	350.006
00:19:00	41.578	38.839	41.216	88.88	90.25	91.669	199.606	197.246	201.528	342.282	348.979	351.862
00:19:30	40.39	38.195	39.868	86.783	90.296	91.339	197.769	195.318	202.494	336.495	346.957	348.456
00:20:00	40.045	38.018	39.653	86.114	88.224	90.332	195.61	190.918	201.121	333.479	343.959	346.837
00:20:30	40.454	37.845	39.776	86.93	88.702	89.509	197.747	194.267	201.072	338.265	348.894	351.923
00:21:00	39.053	37.797	39.212	87.217	88.455	89.479	195.274	194.733	198.229	334.727	343.437	347.379
00:21:30	38.723	36.216	37.735	84.405	88.162	89.466	194.8	191.416	197.928	333.983	343.225	346.268
00:22:00	39.662	35.893	36.927	85.045	85.039	89.131	193.937	191.896	199.509	332.783	340.365	344.969
