Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	93.437	89.178	91.121	176.749	189.086	180.32	360.312	361.492	358.351	518.198	522.75	470.683
00:00:30	91.32	88.358	92.042	177.112	190.032	180.046	357.965	363.129	357.891	522.262	525.223	480.59
00:01:00	92.29	88.882	92.958	180.078	190.987	179.926	361.668	365.897	356.323	529.141	531.937	485.276
00:01:30	91.331	88.19	92.365	177.498	190.791	181.067	358.849	365.239	357.016	531.076	527.206	483.381
00:02:00	91.536	89.564	93.24	179.484	191.585	183.527	365.196	367.144	359.162	528.343	533.41	488.709
00:02:30	92.343	89.71	92.048	180.903	191.859	182.315	362.072	367.437	359.892	529.192	536.988	494.153
00:03:00	92.363	90.432	94.036	181.76	192.684	183.936	366.614	371.738	360.633	536.349	541.729	495.272
00:03:30	93.052	91.354	94.095	182.397	195.077	185.662	367.292	372.899	359.64	540.627	539.788	495.446
00:04:00	92.665	89.585	93.58	181.944	192.51	183.059	365.658	370.405	362.171	535.262	539.139	496.286
00:04:30	92.275	90.682	94.518	183.212	192.809	183.291	364.657	372.923	360.548	533.734	540.153	496.079
00:05:00	94.116	92.041	94.056	182.158	194.837	186.726	364.825	371.242	363.787	539.431	547.832	501.72
00:05:30	93.994	91.266	94.663	183.068	194.922	184.97	372.785	375.302	367.787	545.937	547.472	505.931
00:06:00	93.685	90.719	94.562	184.108	195.508	185.68	368.335	372.516	363.995	537.95	545.309	503.822
00:06:30	92.69	92.311	94.262	184.361	194.44	183.339	367.989	375.183	366.108	543.787	545.498	506.117
00:07:00	93.816	92.215	95.351	185.531	197.398	187.292	370.912	375.128	368.354	542.108	549.757	508.451
00:07:30	92.061	91.719	95.1	182.886	194.102	186.367	367.015	376.376	365.936	540.255	546.114	503.773
00:08:00	94.308	92.616	94.774	185.137	196.772	186.89	371.505	373.993	367.844	546.913	547.333	508.349
00:08:30	95.685	93.716	94.729	182.621	197.209	188.134	369.43	379.029	367.293	551.437	548.02	514.786
00:09:00	92.825	92.753	94.062	185.253	196.559	189.095	370.794	378.513	368.23	547.462	546.942	509.729
00:09:30	93.274	92.674	95.147	183.647	196.897	188.046	371.254	380.185	366.646	547.72	549.903	512.737
00:10:00	93.727	93.615	96.375	185.482	196.023	188.495	371.23	378.962	367.609	549.441	547.118	511.954
00:10:30	94.96	92.234	96.431	185.42	198.142	189.162	372.136	377.76	370.732	548.53	547.547	510.626
00:11:00	95.308	93.073	96.447	185.936	198.403	187.209	372.491	381.546	373.133	552.197	555.009	516.926
00:11:30	93.893	93.485	96.15	184.98	196.943	187.273	371.95	379.875	368.338	546.067	552.944	514.068
00:12:00	96.067	92.107	96.342	185.75	196.264	189.369	371.102	382.995	368.221	550.349	553.481	514.475
00:12:30	95.41	92.567	97.428	184.582	198.168	189.568	376.166	383.554	371.398	544.07	553.652	515.591
00:13:00	94.899	92.625	96.1	186.692	200.29	190.067	375.996	382.542	376.179	548.664	556.384	518.75
00:13:30	96.477	93.738	97.089	187.663	199.894	191.178	376.453	386.881	372.371	559.492	560.4	519.929
00:14:00	95.126	93.27	97.695	187.802	198.689	190.255	377.508	382.086	373.532	554.003	556.153	517.503
00:14:30	94.852	93.323	96.293	187.425	197.769	188.122	372.354	381.452	371.516	555.146	553.358	516.503
00:15:00	95.169	94.277	96.932	188.999	200.066	190.682	380.007	381.278	377.559	555.969	556.596	522.686
00:15:30	94.923	93.87	96.875	188.814	200.19	189.859	376.625	384.998	372.769	554.702	562.461	523.88
00:16:00	96.595	95.705	98.492	187.952	201.334	192.131	382.453	391.706	379.647	560.506	563.674	529.292
00:16:30	96.796	94.56	97.001	189.012	203.158	190.859	380.365	386.115	377.039	561.444	565.387	522.598
00:17:00	96.96	94.861	98.442	187.969	201.311	192.031	379.883	385.583	377.365	554.532	563.146	524.117
00:17:30	95.261	94.863	97.344	189.455	201.031	191.96	379.172	387.123	377.966	555.234	557.976	523.434
00:18:00	95.12	94.108	98.308	191.043	200.373	189.632	377.375	386.691	376.873	556.557	558.384	521.779
00:18:30	96.137	95.214	98.146	188.666	200.214	192.075	376.321	383.76	375.973	556.867	558.92	525.449
00:19:00	96.902	95.481	98.316	189.229	201.241	191.974	381.18	390.698	376.014	560.404	563.437	526.247
00:19:30	96.381	94.298	98.584	187.356	201.928	191.349	377.67	389.646	374.228	560.59	558.736	525.216
00:20:00	96.059	96.28	98.663	189.78	202.359	192.889	382.544	390.358	377.625	561.592	564.749	527.62
00:20:30	94.948	94.395	99.414	189.428	202.012	190.911	380.847	390.316	375.473	558.75	562.36	524.223
00:21:00	97.311	95.26	98.639	188.694	202.01	193.352	379.231	389.816	378.774	561.727	564.217	524.286
00:21:30	95.615	95.27	98.911	187.866	204.028	191.002	381.633	387.947	378.273	561.9	565.132	534.133
00:22:00	96.297	94.742	97.804	189.06	202.623	191.942	380.417	388.059	378.299	557.273	563.861	525.945
00:22:30	98.386	95.795	99.844	190.196	204.655	195.606	383.111	393.31	381.511	566.224	566.261	532.656
00:23:00	97.843	95.042	98.258	190.032	203.911	194.356	379.907	390.051	378.203	563.681	564.481	527.315
00:23:30	96.478	95.267	98.38	191.176	205.456	191.952	383.304	391.635	382.813	567.84	569.343	533.977
00:24:00	97.917	95.881	99.346	189.324	203.643	191.764	381.832	394.33	382.193	565.212	565.909	531.531
00:24:30	98.668	96.406	99.759	189.503	204.21	192.836	382.684	392.689	384.874	568.637	567.063	532.617
00:25:00	97.548	96.325	98.79	189.242	202.318	193.392	381.559	393.456	380.543	562.559	565.453	526.367
00:25:30	96.572	96.257	99.861	191.065	203.091	195.591	386.537	390.809	381.432	565.484	568.366	532.415
00:26:00	97.291	96.285	99.454	191.805	205.098	193.823	385.124	394.75	382.369	567.845	569.423	539.897
00:26:30	97.491	95.318	98.835	190.722	205.225	193.245	382.65	390.969	383.508	562.889	571.796	534.57
00:27:00	98.77	96.538	98.326	189.433	205.052	192.799	385.22	394.128	383.323	563.693	572.442	534.296
00:27:30	98.154	95.982	99.838	189.761	204.276	195.014	382.009	392.092	384.858	563.422	572.082	532.517
00:28:00	96.861	94.632	99.07	189.938	203.261	193.596	384.437	392.025	382.712	563.782	565.639	538.103
00:28:30	97.788	95.768	99.081	190.417	204.755	195.273	386.445	394.529	381.779	566.423	573.132	536.628
00:29:00	98.097	95.983	99.986	190.708	203.791	195.267	387.633	396.646	381.814	567.041	571.981	534.255
00:29:30	97.687	95.518	99.494	188.535	203.731	193.969	382.882	391.904	382.585	568.436	566.531	532.138
00:30:00	98.709	96.917	101.465	194.69	205.827	193.204	385.74	397.86	387.053	569.167	571.779	536.369
00:30:30	97.581	95.955	100.273	190.666	206.01	193.931	383.913	395.436	385.523	568.831	570.459	534.437
00:31:00	99.395	96.591	102.465	191.476	205.577	193.663	384.499	395.807	385.737	569.59	570.196	536.209
00:31:30	98.954	94.81	99.668	190.501	204.7	195.02	382.751	395.893	383.051	565.497	571.444	539.128
00:32:00	98.776	96.378	100.158	190.716	206.839	192.784	389.977	398.082	382.968	569.076	572.322	539.736
00:32:30	97.911	95.005	99.748	192.947	205.824	195.929	385.484	394.883	384.942	568.714	571.875	538.594
00:33:00	98.525	98.126	99.823	190.426	206.42	194.508	389.248	394.087	385.231	572.39	571.61	541.393
00:33:30	99.421	97.031	100.17	194.585	208.06	194.92	389.74	396.987	389.334	570.481	573.818	540.793
00:34:00	97.65	97.578	100.69	195.326	207.174	194.313	387.058	398.326	387.301	571.513	574.439	546.61
00:34:30	97.862	96.089	99.187	193.95	205.846	193.681	384.438	396.233	384.993	570.165	572.642	538.09
00:35:00	98.439	97.236	101.656	193.921	208.412	193.51	388.25	397.032	384.419	571.15	570.825	537.425
00:35:30	96.982	97.607	101.519	193.553	207.19	195.577	385.338	398.517	390.777	569.725	575.691	539.766
00:36:00	100.331	96.892	101.671	193.397	206.097	194.606	385.888	397.009	390.834	567.284	572.278	538.094
00:36:30	97.632	96.359	100.468	192.189	205.546	195.051	391.085	394.77	382.171	568.329	571.725	538.212
00:37:00	98.816	96.367	99.741	194.601	205.909	197.461	386.228	399.243	385.435	572.475	573.559	538.238
00:37:30	99.366	98.443	100.371	193.072	208.607	199.316	390.807	401.253	390.348	575.061	579.097	542.388
00:38:00	96.851	97.831	100.735	193.409	207.871	196.18	388.162	396.722	384.349	570.919	569.954	539.969
00:38:30	99.308	96.624	101.077	193.203	206.032	196.41	389.622	397.149	388.836	571.844	574.04	540.846
00:39:00	98.317	96.394	100.887	191.621	207.878	195.466	390.519	400.179	386.543	569.086	573.683	540.903
00:39:30	98.598	99.136	101.047	194.533	207.526	196.018	389.461	398.919	387.176	572.368	576.414	538.504
00:40:00	98.497	96.69	100.216	194.288	205.176	193.435	388.834	398.532	387.962	569.047	570.267	538.542
00:40:30	99.093	98.07	101.35	194.277	206.893	196.81	393.255	399.275	389.713	577.036	577.354	544.449
00:41:00	99.471	96.879	101.79	193.078	209.528	197.019	391.745	400.565	389.743	579.826	578.317	544.24
00:41:30	100.364	96.752	99.307	191.949	208.894	194.766	389.643	396.008	386.165	567.111	573.822	539.257
00:42:00	99.224	97.678	101.886	193.475	208.013	196.697	390.791	399.133	389.257	571.345	572.588	540.729
00:42:30	99.839	97.561	101.994	193.503	207.464	195.357	387.905	402.84	389.214	574.684	575.023	546.706
00:43:00	99.038	97.109	102.091	197.605	209.383	199.977	394.638	404.263	392.032	573.815	576.199	547.182
00:43:30	98.646	97.519	101.881	194.049	207.781	195.989	392.042	399.305	388.253	573.214	574.825	538.046
00:44:00	98.667	97.727	100.887	194.921	207.206	195.394	390.401	398.194	390.698	573.418	575.106	543.005
00:44:30	98.757	97.321	101.72	195.823	207.733	197.62	390.123	401.411	390.106	575.609	578.619	541.067
00:45:00	98.996	98.116	101.884	193.971	206.748	195.956	389.309	400.076	387.957	576.736	574.076	542.979
00:45:30	99.502	96.627	101.108	194.386	207.632	197.035	390.74	402.231	388.882	574.575	572.092	545.433
00:46:00	98.947	97.486	100.409	194.487	209.369	199.066	392.712	403.751	390.516	574.717	575.928	546.98
00:46:30	99.324	97.796	100.02	192.498	208.439	195.295	390.311	399.416	388.064	577.117	574.852	538.971
00:47:00	99.595	97.907	102.316	194.912	210.052	198.052	391.659	401.454	392.576	580.124	575.566	543.688
00:47:30	99.517	99.14	102.589	196.193	212.38	200.349	394.99	402.292	394.983	577.852	581.332	547.183
00:48:00	99.504	97.803	101.497	194.065	207.298	198.534	392.11	401.442	391.489	575.934	578.391	544.893
00:48:30	99.469	98.535	101.698	197.303	210.062	197.127	393.715	400.493	390.974	577.466	577.473	542.649
00:49:00	98.931	97.889	100.722	195.382	209.515	197.762	394.48	402.496	389.521	577.25	579.745	548.597
00:49:30	98.973	97.896	101.443	195.513	208.687	198.493	389.012	400.617	389.793	574.334	574.996	541.339
00:50:00	99.379	98.922	101.709	193.392	208.297	197.876	394.724	402.787	392.31	576.053	579.293	547.208
00:50:30	98.653	97.309	101.226	194.033	207.672	198.107	390.047	402.75	390.139	574.787	574.719	543.865
00:51:00	101.024	97.282	101.498	194.538	208.654	198.93	393.193	402.156	390.084	578.205	577.92	544.417
00:51:30	99.099	98.167	103.195	194.534	209.115	200.172	393.096	403.185	392.336	579.991	579.658	543.778
00:52:00	101.786	98.571	101.391	194.965	208.414	198.74	394.189	403.11	391.955	579.606	579.16	545.914
00:52:30	99.992	98.37	100.67	197.905	209.059	197.892	388.569	399.531	389.794	575.723	578.102	545.126
00:53:00	100.072	99.264	100.131	195.545	210.169	199.016	394.786	403.087	392.38	575.633	577.919	545.57
00:53:30	99.335	99.052	101.97	195.767	210.314	199.756	394.87	406.072	392.2	578.827	580.73	551.737
00:54:00	99.62	98.382	101.453	196.606	212.478	199.212	393.952	405.104	389.394	581.101	579.172	547.798
00:54:30	100.925	99.497	102.095	197.745	211.759	197.797	394.938	402.516	392.257	581.331	581.084	546.503
00:55:00	100.457	97.298	101.462	196.904	208.262	196.919	392.9	398.977	390.039	575.362	575.94	546.302
00:55:30	100.371	98.773	101.717	196.777	208.833	200.52	392.302	403.301	388.388	578.692	579.413	546.901
00:56:00	100.066	98.661	100.936	196.606	209.353	198.784	392.682	402.931	393.69	577.664	580.675	546.452
00:56:30	99.486	98.035	101.93	195.035	209.276	197.591	393.572	399.808	393.06	577.375	578.754	547.597
00:57:00	100.595	98.074	102.238	195.352	211.388	198.097	395.224	403.367	394.194	580.432	579.221	546.464
00:57:30	101.415	97.335	101.564	198.137	210.34	198.768	393.203	405.579	393.052	586.364	581.333	550.028
00:58:00	101.356	97.645	100.703	193.096	210.735	198.094	393.985	405.632	392.957	580.678	578.613	547.281
00:58:30	98.334	97.737	101.802	198.138	210.664	200.739	392.677	404.093	392.761	580.682	579.919	544.904
00:59:00	99.952	99.881	101.972	196.828	209.756	198.305	397.218	407.569	398.131	582.061	582.881	550.622
00:59:30	99.022	98.41	101.073	194.227	210.481	198.59	390.327	401.603	390.785	575.977	573.754	545.547
