Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	94.253	91.925	98.154	171.047	182.355	185.004	349.034	354.54	349.652	524.652	488.173	509.802
00:00:30	94.803	92.196	102.176	171.985	183.621	185.597	349.5	351.769	354.176	528.178	493.325	511.519
00:01:00	95.014	93.426	103.524	173.67	182.853	186.063	352.031	352.117	355.25	536.086	497.517	515.044
00:01:30	94.23	93.295	104.227	172.43	181.729	187.061	351.532	353.953	351.416	534.009	499.713	516.211
00:02:00	94.336	93.503	102.848	173.078	183.185	186.637	352.553	354.988	355.752	536.138	501.426	520.515
00:02:30	96.055	94.733	104.544	174.682	184.373	188.454	353.852	355.38	361.135	543.939	508.102	522.958
00:03:00	96.835	93.399	106.006	175.156	185.358	187.425	358.57	355.673	357.987	548.008	507.071	522.081
00:03:30	95.204	94.57	105.179	176.443	186.226	188.929	357.116	357.903	358.536	547.074	508.928	530.287
00:04:00	95.569	94.017	104.518	176.677	183.751	187.312	356.321	356.387	359.961	543.63	510.081	525.313
00:04:30	96.085	95.05	104.97	176.498	183.84	186.709	359.103	356.674	361.298	545.335	505.452	525.34
00:05:00	96.87	95.169	104.912	176.111	185.402	191.182	356.332	358.86	361.542	546.459	509.61	530.233
00:05:30	97.763	96.307	107.784	178.807	187.761	193.434	362.265	362.823	365.235	552.639	518.906	536.812
00:06:00	96.4	94.711	105.927	178.391	186.113	190.845	361.989	362.9	362.619	558.057	512.617	533.737
00:06:30	96.813	96.53	105.246	176.277	187.831	191.567	360.221	363.022	365.17	556.826	514.151	531.49
00:07:00	97.031	95.655	107.313	178.475	186.15	192.391	362.929	360.885	366.344	551.892	515.758	529.696
00:07:30	95.531	96.408	104.434	177.789	187.234	188.91	358.447	360.742	362.322	547.399	513.021	528.583
00:08:00	97.207	95.878	106.363	179.648	186.876	189.809	359.906	361.799	362.617	551.768	512.869	531
00:08:30	97.094	97.407	105.798	178.695	186.716	192.63	364.008	362.471	367.028	556.443	521.193	533.145
00:09:00	98.159	96.67	107.146	178.658	186.158	189.711	361.873	362.281	365.164	554.954	516.416	531.221
00:09:30	97.494	96.965	106.446	178.615	187.206	189.765	362.801	359.602	366.091	550.079	516.945	529.264
00:10:00	97.17	95.978	106.072	179.918	188.062	191.263	361.739	363.409	368.609	555.021	521.077	535.158
00:10:30	97.942	95.225	107.283	178.97	188.226	191.468	362.139	360.529	365.203	555.244	519.988	534.618
00:11:00	98.46	96.736	107.101	180.048	188.751	192.529	364.478	365.525	366.827	559.419	521.361	536.715
00:11:30	97.541	96.347	106.148	178.645	188.362	191.13	363.756	359.098	367.106	552.998	518.493	532.932
00:12:00	98.462	97.318	106.782	178.187	188.077	189.161	360.209	360.835	366.143	555.74	518.095	532.469
00:12:30	99.053	98.057	107.361	180.902	188.691	193.496	363.516	367.832	371.93	561.613	523.957	541.385
