Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	92.015	79.606	94.361	193.539	134.48	201.822	363.93	260.511	402.046	560.432	377.542	677.936
00:00:30	93.556	84.862	95.638	191.271	130.06	204.176	362.509	247.823	413.742	566.404	371.132	676.284
00:01:00	93.345	70.155	96.531	193.003	126.491	204.951	369.03	241.262	418.905	572.264	367.489	681.972
00:01:30	93.569	65.848	96.927	191.156	121.328	203.088	365.878	236.173	416.737	577.042	363.946	685.588
00:02:00	93.928	64.075	97.236	194.006	118.145	207.555	369.948	232.871	420.09	577.939	358.695	687.279
00:02:30	94.101	62.208	96.882	192.772	114.655	206.02	367.185	226.029	425.8	580.436	356.245	678.051
00:03:00	94.904	59.496	97.274	194.722	113.034	209.141	373.224	226.091	430.323	582.238	357.566	687.693
00:03:30	94.687	58.621	97.163	195.273	112.183	209.068	372.837	223.837	430.273	588.933	357.441	691.097
00:04:00	93.975	56.357	98.851	195.247	108.641	209.606	372.401	220.418	431.158	581.828	355.807	688.088
00:04:30	96.456	54.074	97.758	195.13	107.897	207.664	373.928	219.518	426.669	584.04	354.685	694.196
00:05:00	96.643	53.906	98.206	195.212	107.308	208.758	373.887	220.275	432.687	594.397	352.415	696.859
00:05:30	95.904	54.045	100.973	197.74	105.673	209.329	376.225	219.53	437.056	593.121	359.06	697.259
00:06:00	96.13	51.658	100.196	196.167	104.011	210.913	376.717	217.631	436.879	593.208	353.738	691.8
00:06:30	95.785	51.464	99.133	195.249	103.461	210.236	373.805	215.415	433.303	591.547	352.85	693.746
00:07:00	95.807	48.701	100.851	198.683	103.874	213.363	378.988	215.558	437.189	601.267	355.699	703.466
00:07:30	96.44	49.043	99.538	195.525	101.651	208.652	376.954	214.786	435.535	601.779	352.25	693.044
00:08:00	96.869	47.673	100.809	198.268	102.181	209.896	377.441	215.556	439.657	599.755	351.172	691.404
00:08:30	97.131	47.518	99.959	199.999	102.014	211.167	381.301	215.392	445.883	600.266	353.492	695.394
00:09:00	95.932	46.573	101.062	196.736	100.072	209.969	375.971	215.004	437.707	597.28	351.222	689.385
00:09:30	95.679	45.536	100.44	196.072	100.302	210.385	377.58	212.295	445.952	600.389	350.137	697.349
