Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	96.544	78.315	79.245	190.775	125.243	182.389	402.787	270.263	356.761	534.177	420.479	536.236
00:00:30	96.458	69.395	78.808	188.814	136.736	184.778	409.888	260.721	357.879	533.36	404.104	539.576
00:01:00	96.888	67.788	79.416	191.646	132.658	185.39	410.061	253.391	362.374	541.874	395.249	546.819
00:01:30	95.859	64.373	79.067	190.344	131.059	185.618	410.03	248.596	359.734	544.009	391.518	545.853
00:02:00	95.42	62.569	79.298	190.885	126.591	185.563	411.767	244.873	363.571	547.389	388.08	549.244
00:02:30	97.589	59.633	80.482	191.329	122.858	185.332	416.062	241.387	362.418	544.695	381.616	549.748
00:03:00	97.091	59.323	79.057	193.221	119.699	187.29	414.196	239.635	363.549	546.454	383.448	555.777
00:03:30	97.589	56.064	79.997	192.456	118.759	187.074	415.991	238.024	366.964	550.224	382.833	554.42
00:04:00	95.411	55.236	80.799	191.344	115.519	186.517	417.149	233.448	366.647	548.827	379.551	549.735
00:04:30	95.78	54.118	80.663	190.626	115.432	186.673	414.938	232.06	366.103	548.653	381.425	551.385
00:05:00	97.715	53.287	80.746	192.935	113.491	187.421	419.263	233.829	365.653	555.454	382.475	558.24
00:05:30	96.9	52.397	81.734	193.334	113.409	190.707	422.877	233.297	368.973	559.415	381.65	562.574
00:06:00	97.786	50.351	81.147	194.179	110.346	186.355	421.476	232.854	370.741	555.615	377.852	558.883
00:06:30	97.445	49.187	80.547	192.714	110.187	187.826	421.176	229.594	368.02	551.473	376.049	560.64
00:07:00	98.611	48.432	82.618	194.778	108.665	190.002	421.023	228.274	369.256	556.792	378.845	562.094
00:07:30	95.273	48.497	79.803	191.509	108.034	188.314	418.935	226.796	368.244	550.839	371.473	553.769
00:08:00	97.005	46.642	80.607	195.025	106.842	189.245	421.098	227.101	372.17	559.643	377.856	560.571
00:08:30	97.557	46.069	81.599	193.643	107.926	190.708	423.639	227.675	371.428	557.901	374.861	562.197
00:09:00	97.988	44.207	80.946	196.834	105.977	189.06	420.371	224.594	368.987	560.684	372.383	561.111
00:09:30	98.018	43.884	80.966	192.227	105.642	189.353	420.234	226.855	372.161	555.294	371.015	560.035
00:10:00	97.228	43.453	81.079	194.687	103.993	189.744	422.959	226.182	370.628	556.621	375.044	561.381
00:10:30	98.151	42.874	81.73	194.934	102.956	190.623	425.916	225.55	371.682	556.332	369.93	561.882
00:11:00	97.564	43.937	82.495	196.546	103.703	191.578	425.589	225.804	375.755	562.427	373.671	564.734
00:11:30	97.706	42.61	80.445	194.374	102.092	189.114	421.808	222.941	368.219	556.002	366.628	561.915
00:12:00	97.962	41.442	79.843	195.214	102.234	187.918	420.611	221.814	370.18	554.365	366.832	556.407
00:12:30	98.028	41.361	82.081	194.126	100.478	188.564	427.068	223.948	375.506	557.516	371.521	566.677
00:13:00	98.945	41.69	81.194	195.432	100.854	191.961	428.608	222.023	371.269	559.522	368.764	568.929
00:13:30	98.585	40.719	81.609	194.623	100.092	192.109	427.978	224.899	377.375	564.212	370	569.136
00:14:00	97.646	39.475	82.094	194.136	100.403	191.803	424.026	222.781	374.016	561.13	368.776	562.608
