Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	88.283	98.88	99.477	154.697	171.648	180.522	342.426	356.975	360.092	456.123	492.966	451.065
00:00:30	86.764	97.473	99.697	153.267	169.358	177.301	333.851	345.341	352.385	449.804	485.123	447.955
00:01:00	87.081	97.54	100.682	153.691	168.506	176.094	330.924	346.696	350.846	445.527	482.944	441.845
00:01:30	87.944	98.053	100.801	154.459	168.996	177.158	335.102	346.415	352.539	449.721	481.691	445.238
00:02:00	86.446	98.804	98.76	152.584	166.438	173.96	328.546	345.737	348.698	447.674	477.334	440.833
00:02:30	86.041	98.464	100.204	152.553	167.937	173.374	328.514	343.292	347.192	445.359	476.347	440.752
00:03:00	86.333	98.012	100.48	152.734	168.523	174.592	328.873	340.926	344.569	442.477	479.224	439.908
00:03:30	85.337	95.938	99.271	150.881	165.099	172.779	323.558	342.783	341.032	438.667	472.578	434.676
00:04:00	85.585	98.233	98.999	151.705	167.209	173.339	323.018	341.635	344.32	441.03	472.893	436.847
00:04:30	85.691	96.556	101.018	152.053	166.996	172.454	322.016	338.364	340.409	439.708	472.566	434.724
00:05:00	84.492	97.049	98.564	149.778	164.46	171.074	318.541	333.849	337.961	437.803	467.086	430.492
00:05:30	84.134	96.227	98.419	150.495	167.706	170.443	320.605	335.466	337.944	436.573	469.293	427.947
00:06:00	83.98	95.379	98.239	148.39	162.124	170.31	317.651	331.401	336.157	428.644	464.896	426.97
00:06:30	83.927	95.45	98.104	147.069	164.019	171.261	317.453	331.663	334.687	431.583	466.563	427.08
00:07:00	83.379	95.257	98.755	146.974	163.109	171.229	314.889	329.205	335.197	430.358	460.483	427.925
00:07:30	84.545	95.585	97.998	146.6	164.683	169.298	312.719	329.888	334.195	430.591	461.102	428.688
00:08:00	83.5	95.401	97.53	147.694	160.649	170.213	312.352	327.165	329.94	431.197	458.496	419.98
00:08:30	84.433	95.756	98.072	147.047	164.214	168.21	311.739	326.636	331.701	429.745	458.471	422.503
00:09:00	83.613	95.995	97.989	147.006	161.625	168.712	312.095	326.492	331.739	430.149	460.974	426.419
00:09:30	83.579	95.446	98.573	148.168	162.518	169.89	311.761	325.101	331.567	425.47	459.734	425.339
00:10:00	83.916	95.679	97.689	146.62	160.977	167.547	310.601	323.065	328.615	427.317	457.647	423.439
00:10:30	84.266	94.683	98.242	146.337	161.931	168.655	309.395	323.989	329.95	426.368	455.984	420.283
00:11:00	82.955	94.953	98.713	144.008	160.907	165.834	309.957	324.421	328.292	426.466	455.795	419.583
00:11:30	83.061	94.532	98.279	145.608	159.909	166.73	308.042	320.617	329.765	422.845	453.413	417.446
00:12:00	83.341	94.937	97.005	145.374	160.165	167.506	303.896	321.063	327.209	424.141	451.46	416.593
00:12:30	82.72	94.117	98.328	144.202	159.047	166.78	304.301	317.974	324.075	419.754	453.012	416.685
00:13:00	81.869	92.356	97.53	142.902	158.6	165.087	303.482	319.746	323.361	419.935	449.244	413.676
00:13:30	82.873	93.553	96.75	142.51	158.753	165.554	302.904	318.075	324.473	419.004	449.554	416.729
00:14:00	82.097	94.867	96.699	143.541	160.307	166.522	303.156	316.22	325.556	420.141	449.664	415.383
00:14:30	82.147	93.402	97.669	142.69	158.517	163.947	299.731	317.217	320.282	417.108	445.434	412.956
00:15:00	82.126	93.167	97.62	143.674	160.552	167.815	303.202	320.262	323.423	422.046	452.868	418.543
00:15:30	83.356	92.903	97.543	143.228	158.428	165.283	303.668	316.983	324.66	418.257	450.206	417.005
00:16:00	82.218	92.743	97.757	143.507	157.789	164.791	298.315	316.855	321.666	417.825	444.872	410.634
00:16:30	81.977	92.398	96.588	143.807	158.41	164.658	298.363	313.131	320.84	414.531	448.31	413.606
00:17:00	82.876	92.921	97.53	144.658	156.741	165.276	300.579	316.945	325.716	422.31	448.982	412.917
00:17:30	81.488	93.022	96.85	141.627	156.902	164.42	300.382	314.347	319.439	413.635	445.841	412.088
00:18:00	81.695	92.093	96.199	142.975	155.954	164.893	299.213	313.903	321.406	414.531	448.244	409.804
00:18:30	80.671	92.004	96.854	142.015	155.595	162.786	297.863	312.891	320.256	413.147	445.736	414.009
00:19:00	82.942	91.856	97.327	143.126	157.54	164.765	298.694	314.581	322.427	420.058	445.609	412.226
00:19:30	81.181	92.548	96.224	142.992	156.493	163.726	297.018	314.053	318.532	415.008	443.981	413.381
00:20:00	81.08	92.627	96.21	141.952	155.99	163.887	296.395	316.463	316.228	418.601	445.047	411.755
00:20:30	81.672	90.948	96.874	142.484	157.011	164.645	297.432	313.698	319.386	412.621	448.943	410.029
00:21:00	81.212	92.224	95.291	141.044	154.81	163.937	293.113	309.875	317.555	411.54	440.991	405.105
00:21:30	81.235	93.241	96.561	142.48	157.94	163.741	295.975	315.23	321.791	412.499	446.087	410.825
00:22:00	80.518	92.29	96.49	142.603	155.069	163.697	298.175	312.986	319.745	416.623	442.121	412.798
00:22:30	80.898	91.173	94.002	143.02	154.763	164.57	296.19	312.876	317.809	409.769	438.907	409.032
00:23:00	81.698	91.451	96.123	143.827	157.377	163.539	295.03	314.624	319.957	416.944	444.222	412.861
00:23:30	81.141	92.65	95.281	141.342	155.352	162.078	295.956	311.075	319.587	413.758	443.641	410.659
00:24:00	80.583	91.174	95.51	140.416	155.718	162.844	293.473	310.204	317.107	412.381	446.142	409.783
00:24:30	81.264	91.325	95.573	141.718	152.568	161.777	297.017	311.802	316.654	414.869	442.338	409.89
00:25:00	80.787	90.651	95.547	140.646	155.133	161.911	294.751	310.966	316.948	411.882	440.165	410.604
00:25:30	80.949	89.981	95.304	139.271	153.326	161.897	293.404	308.381	314.455	410.893	436.777	404.832
00:26:00	79.588	91.424	94.94	140.958	154.886	162.773	292.68	309.925	315.281	415.2	439.344	408.677
00:26:30	81.489	90.315	94.722	141.582	154.263	162.657	293.822	311.074	315.858	414.085	442.591	407.104
00:27:00	81.1	92.105	96.351	140.926	155.771	161.686	293.763	312.245	317.701	413.089	440.158	408.671
00:27:30	79.775	91.075	96.427	139.709	154.216	163.887	291.555	309.682	314.961	411.143	437.544	408.41
00:28:00	80.505	90.832	94.458	140.026	154.48	161.15	290.399	308.324	316.045	412.25	439.39	405.725
00:28:30	80.619	90.232	94.58	140.031	154.052	161.527	288.707	308.578	312.363	412.052	438.54	405.038
00:29:00	79.598	89.956	95.095	140.049	154.984	162.197	291.992	306.884	314.88	411.34	436.788	406.54
00:29:30	80.07	89.069	93.878	137.944	154.409	160.775	289.078	304.956	315.078	408.811	438.445	403.792
00:30:00	80.53	90.908	93.395	138.387	152.587	161.577	289.947	307.197	315.416	411.162	434.798	406.645
00:30:30	79.644	89.625	95.255	139.832	153.124	161.695	289.282	306.799	312.768	410.475	438.88	405.279
00:31:00	80.811	89.762	94.077	139.549	153.2	162.584	289.913	307.149	314.528	409.661	437.508	407.549
00:31:30	79.637	90.873	94.377	139.134	153.757	159.634	290.556	309.505	310.833	411.089	437.868	407.925
00:32:00	79.275	90.734	94.769	140.809	153.761	162.65	291.382	307.743	312.457	411.048	439.132	409.535
00:32:30	78.533	89.811	94.325	138.755	151.149	160.033	290.98	304.034	310.399	405.401	434.965	398.976
00:33:00	79.945	89	95.056	135.971	151.641	158.618	286.144	304.933	311.59	407.213	433.537	401.417
00:33:30	79.1	90.329	94.017	140.766	152.337	159.568	288.955	304.418	312.62	406.303	436.184	404.517
00:34:00	78.301	89.863	93.958	136.772	151.442	159.603	284.806	300.485	313.691	405.062	436.483	399.654
00:34:30	79.126	88.917	95.132	139.124	153.608	160.657	290.623	306.905	312.286	409.965	436.352	404.67
00:35:00	79.403	88.708	95.205	139.023	152.832	159.341	288.61	304.973	314.358	407.378	437.204	399.685
00:35:30	79.211	89.809	95.064	138.477	151.959	161.152	288.822	305.356	313.769	409.946	436.085	403.332
00:36:00	78.116	89.913	94.299	137.223	152.61	159.51	288.913	304.218	310.743	405.794	436.642	401.24
