Time	50_1	50_2	50_3	100_1	100_2	100_3
00:00:00	137.788	160.468	163.206	319.417	318.256	318.344
00:00:30	136.328	157.18	160.723	310.442	315.642	311.879
00:01:00	135.146	157.541	161.805	309.811	312.172	312.529
00:01:30	136.351	156.567	162.383	306.302	313.621	310.335
00:02:00	135.161	154.885	161.628	305.184	311.816	308.118
00:02:30	133.913	153.095	160.702	301.488	311.719	308.821
00:03:00	135.551	153.497	160.129	302.565	307.946	306.381
00:03:30	131.874	151.039	157.855	295.423	305.712	300.107
00:04:00	134.307	152.107	158.454	296.107	305.58	301.523
00:04:30	133.146	151.488	157.956	299.451	303.679	301.818
00:05:00	131.36	151.203	156.691	297.124	300.224	297.403
00:05:30	131.2	149.6	156.47	296.133	299.441	297.98
00:06:00	129.502	149.551	155.191	292.793	296.741	293.876
00:06:30	130.43	149.515	155.023	293.292	299.031	295.442
00:07:00	129.579	149.696	155.294	290.831	297.124	295.113
00:07:30	130.006	149.165	153.305	291.821	299.058	294.621
00:08:00	128.755	148.952	154.074	288.978	291.279	289.821
00:08:30	127.811	147.881	152.005	288.818	293.62	291.716
00:09:00	127.201	147.447	152.777	286.318	295.707	291.935
00:09:30	128.149	146.004	153.585	284.477	291.795	289.142
00:10:00	127.315	145.576	153.125	285.491	292.961	291.639
00:10:30	127.259	146.283	152.979	285.73	290.605	291.841
00:11:00	126.589	146.838	151.066	283.826	291.252	289.102
00:11:30	126.903	146.354	151.465	284.995	290.205	288.536
00:12:00	123.817	143.15	149.973	284.057	285.48	285.385
00:12:30	126.978	145.46	149.733	285.326	286.767	287.554
00:13:00	124.34	143.34	147.797	280.349	283.183	286.692
00:13:30	125.033	142.56	149.542	283.386	284.352	285.55
00:14:00	124.535	143.597	148.055	281.525	285.085	286.316
00:14:30	123.848	142.303	147.667	279.632	283.602	281.516
00:15:00	124.88	144.546	148.62	280.783	286.519	285.469
00:15:30	125.057	143.603	150.149	277.876	285.038	282.05
00:16:00	123.856	141.475	148.036	276.709	283.516	284.224
00:16:30	123.731	144.131	147.852	279.721	282.577	281.86
00:17:00	123.982	143.207	147.798	277.175	284.63	283.498
00:17:30	122.009	142.149	147.584	278.612	281.511	283.251
00:18:00	121.988	141.131	146.285	275.982	283.691	280.815
00:18:30	122.072	140.438	147.788	276.695	280.293	279.782
00:19:00	122.082	142.365	147.248	277.256	280.021	278.891
00:19:30	120.836	140.815	146.561	275.683	278.236	280.665
00:20:00	122.347	138.128	145.174	274.768	278.729	277.713
00:20:30	121.641	140.045	145.641	276.196	279.32	280.602
00:21:00	119.437	138.975	144.095	273.449	278.759	274.428
00:21:30	121.056	139.018	145.58	272.879	279.186	278.445
00:22:00	120.315	139.01	145.498	273.392	277.842	276.964
00:22:30	120.786	139.389	145.267	270.533	279.303	275.479
00:23:00	122.683	140.465	144.987	274.415	280.21	278.855
00:23:30	120.233	138.559	143.624	272.389	278.409	277.084
00:24:00	119.99	138.218	144.658	271.292	277.29	273.977
00:24:30	120.941	139.609	145.515	273.623	275.296	274.866
00:25:00	120.391	138.301	143.809	271.943	275.729	276.935
00:25:30	119.959	138.712	143.089	273.067	275.741	275.543
00:26:00	120.219	136.997	143.562	269.177	274.548	272.272
00:26:30	119.183	136.548	143.531	270.532	274.546	273.132
00:27:00	119.924	139.112	145.745	269.167	275.423	274.295
00:27:30	119.934	138.292	142.471	269.958	274.329	273.141
00:28:00	118.455	136.876	143.38	268.231	273.425	273.987
00:28:30	118.972	136.719	142.886	266.924	274.044	273.019
00:29:00	117.946	136.53	142.505	270.938	273.56	273.043
00:29:30	119.187	135.348	142.432	265.875	271.237	270.903
00:30:00	117.801	136.542	141.937	269.654	272.049	272.092
00:30:30	117.66	135.471	139.224	268.767	271.875	272.154
00:31:00	117.603	136.73	141.144	267.178	270.525	270.159
00:31:30	117.377	135.962	140.927	266.557	270.925	269.794
00:32:00	118.618	135.863	141.154	269.771	270.745	274.451
00:32:30	118.598	134.879	141.849	268.037	268.117	271.295
00:33:00	117.09	136.556	140.907	266.788	270.26	270.312
00:33:30	117.361	136.843	140.374	267.821	269.767	270.674
00:34:00	116.043	135.123	140.129	264.128	269.19	267.155
00:34:30	117.036	135.576	141.857	266.325	270.362	269.138
00:35:00	117.091	135.569	140.207	267.898	270.684	271.053
00:35:30	117.47	134.854	141.83	266.33	271.084	269.565
00:36:00	117.36	134.85	138.984	267.41	269.662	267.924
00:36:30	117.642	134.773	140.27	266.507	269.715	270.039
00:37:00	116.415	133.598	139.35	265.123	268.523	269.37
00:37:30	115.958	133.868	139.247	265.098	268.063	269.668
00:38:00	116.714	133.07	139.517	266.352	269.184	270.402
00:38:30	116.355	136.074	138.575	266.657	269.178	269.579
00:39:00	115.7	136.255	139.621	263.688	266.958	268.348
00:39:30	115.513	133.833	139.746	265.981	266.585	268.352
00:40:00	117.926	134.735	139.063	267.134	270.137	268.966
00:40:30	116.085	134.591	139.88	265.524	267.925	269.075
00:41:00	115.629	131.779	139.818	263.851	266.092	266.529
00:41:30	115.675	132.497	139.17	263.262	266.292	266.406
00:42:00	115.932	134.882	137.176	264.492	267.841	267.861
00:42:30	115.213	131.806	137.688	262.044	265.614	263.674
00:43:00	113.979	130.607	137.283	261.008	262.813	266.057
00:43:30	113.381	132.598	136.835	264.039	265.882	263.033
00:44:00	115.825	132.341	139.966	261.354	266.962	265.497
00:44:30	115.083	132.985	137.737	264.167	266.501	268.814
00:45:00	114.557	132.731	138.823	262.656	263.384	264.763
00:45:30	114.811	133.654	138.655	262.27	263.353	262.461
00:46:00	115.256	131.425	139.413	263.227	264.933	266.717
00:46:30	114.118	132.874	137.542	261.226	263.328	264.234
