Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	101.127	99.954	98.824	184.931	180.911	173.294	332.841	340.025	338.664	627.623	460.569	478.173
00:00:30	99.168	99.006	99.391	179.278	177.551	171.028	327.427	334.411	331.375	593.418	455.306	464.603
00:01:00	99.989	100.661	98.938	182.785	176.315	172.738	325.931	334.389	329.171	588.556	452.497	464.563
00:01:30	98.818	98.089	99.264	180.015	176.242	171.138	324.48	330.716	327.967	580.902	447.946	465.382
00:02:00	98.523	98.096	97.153	178.321	174.664	169.482	319.214	326.198	320.879	572.272	443.686	456.196
00:02:30	97.786	97.672	99.15	178.08	175.565	167.749	321.304	327.131	322.736	564.551	445.004	455.918
00:03:00	96.327	96.941	98.427	176.459	172.002	166.616	315.746	326.074	319.318	565.015	440.967	453.379
00:03:30	96.378	96.559	95.918	174.339	170.846	165.473	314.826	319.579	315.842	552.102	432.491	445.403
00:04:00	94.988	96.733	95.338	173.143	169.547	164.759	311.667	318.161	315.267	552.543	428.848	447.161
00:04:30	95.832	95.889	95.859	170.73	168.836	165.024	313.787	319.54	314.606	549.967	431.72	445.386
00:05:00	94.088	94.524	95.818	170.434	166.692	161.899	309.676	312.85	309.706	543.547	428.881	439.379
00:05:30	94.258	95.96	93.389	169.128	166.63	163.732	309.484	314.4	309.075	539.937	430.292	439.639
00:06:00	90.936	94.203	94.316	168.181	163.103	158.25	303.752	309.692	305.027	534.312	425.252	433.906
00:06:30	92.35	93.291	94.287	168.678	163.264	158.994	306.819	309.496	307.493	534.525	427.388	436.05
00:07:00	91.76	94.434	92.764	166.621	162.383	159.261	305.129	308.874	304.533	532.519	422.943	433.183
00:07:30	90.755	92.758	93.521	166.312	161.79	157.362	301.9	307.007	304.122	527.836	424.104	433.366
00:08:00	90.967	91.599	91.736	162.869	160.051	156.84	298.552	304.525	302.955	523.347	413.016	429.216
00:08:30	91.053	91.654	92.94	166.268	159.302	155.786	297.688	306.092	302.509	526.959	420.858	427.656
00:09:00	89.529	92.437	92.113	164.497	160.018	156.25	299.262	303.522	302.278	526.89	414.352	427.654
00:09:30	89.729	90.929	92.323	161.216	159.391	156.215	298.977	301.882	299.529	523.496	417.038	429.243
00:10:00	89.133	90.633	91.493	161.692	157.093	155.042	299.63	300.112	298.232	519.066	416.77	426.023
00:10:30	88.023	91.646	91.249	162.616	158.02	154.033	296.966	300.457	299.241	518.525	414.99	425.323
00:11:00	87.667	89.676	91.007	160.788	157.367	153.571	294.598	297.239	296.939	521.726	411.531	421.974
00:11:30	88.362	91.35	90.671	161.755	154.252	153.629	293.695	301.481	296.845	516.305	411.593	425.724
00:12:00	87.086	89.312	89.75	159.52	154.318	151.409	293.11	295.781	294.756	512.561	408.656	419.995
00:12:30	87.047	90.016	90.058	159.475	154.1	150.136	293.717	294.837	292.628	512.518	412.006	421.847
00:13:00	86.245	88.444	88.963	157.19	153.455	150.795	290.898	291.818	291.642	508.149	409.906	414.374
00:13:30	86.038	88.481	89.253	156.895	152.748	151.489	289.721	292.059	291.442	511.463	407.534	416.687
00:14:00	86.308	88.654	87.638	157.062	151.686	148.981	289.556	291.527	291.964	508.175	409.379	418.649
00:14:30	86.355	88.612	87.708	155.069	151.382	148.992	288.025	290.786	289.59	507.948	405.785	415.27
00:15:00	85.954	88.973	88.649	157.271	151.502	150.516	291.217	293.396	292.195	511	408.92	418.643
00:15:30	84.413	88.795	87.972	156.155	149.99	149.156	291.22	292.153	289.894	514.084	405.308	418.824
00:16:00	84.985	88.787	87.838	156.947	151.628	148.618	288.538	288.694	288.741	503.245	404.81	414.47
00:16:30	85.165	86.644	87.937	153.88	150.123	148.02	286.286	290.497	288.725	506.442	409.203	412.434
00:17:00	84.949	88.041	88.268	154.141	149.162	147.24	287.426	289.696	290.894	511.305	410.613	416.661
00:17:30	84.511	87.101	87.918	155.076	148.193	146.131	287.133	289.188	289.85	504.854	408.21	414.123
00:18:00	83.59	88.007	88.338	153.723	148.772	147.069	284.438	288.166	286.902	504.45	405.176	409.639
00:18:30	84.514	86.582	86.735	153.524	147.588	145.383	284.961	286.955	285.493	501.535	402.583	410.608
00:19:00	83.8	87.285	87.116	152.922	148.547	145.32	285.858	286.493	284.928	502.266	405.572	411.583
00:19:30	83.28	85.829	87.59	152.506	147.721	144.312	283.34	284.168	285.885	498.42	399.357	408.228
00:20:00	83.236	86.759	85.983	151.353	146.33	144.558	283.346	286.099	284.554	499.857	399.44	408.749
00:20:30	82.752	85.829	87.826	151.634	147.851	144.216	282.503	284.681	283.357	500.098	399.656	410.037
00:21:00	82.414	86.049	85.744	148.777	146.608	142.165	279.987	280.887	283.272	492	394.781	406.099
00:21:30	81.612	85.653	85.194	152.648	144.951	144.55	284.324	286.097	284.755	499.468	402.854	409.382
00:22:00	81.385	85.158	86.04	151.189	144.666	142.654	281.408	283.292	281.084	495.53	400.907	409.57
00:22:30	81.092	85.602	85.365	149.417	144.666	144.815	278.616	281.89	282.149	497.736	400.446	408.027
00:23:00	81.89	85.333	85.716	151.257	145.193	142.516	283.206	283.482	284.747	501.506	402.944	410.636
00:23:30	80.498	84.651	84.872	150.882	144.778	142.282	281.634	284.276	283.894	497.509	397.461	409.205
00:24:00	81.698	84.286	84.365	151.146	145.038	142.183	282.707	283.647	282.745	497.302	399.929	402.564
00:24:30	80.99	84.44	85.297	148.186	145.656	141.824	281.087	283.246	280.189	493.149	399.917	403.032
00:25:00	81.377	83.715	84.723	149.06	145.286	141.983	281.249	283.268	281.854	495.332	398.608	404.488
00:25:30	80.405	84.023	84.161	149.455	143.492	140.984	276.752	281.105	279.795	489.971	398.28	401.932
00:26:00	80.722	84.236	84.856	149.143	144.291	140.886	280.506	279.968	279.527	492.901	396.194	403.874
00:26:30	80.844	84.305	85.15	148.753	143.564	140.771	278.761	278.877	280.366	494.136	399.928	404.578
00:27:00	79.403	84.088	85.2	147.216	143.39	141.931	280.524	281.017	281.383	491.328	398.628	405.176
00:27:30	80.299	83.643	84.528	147.198	142.885	140.073	277.317	278.236	277.796	491.874	393.043	403.319
00:28:00	80.377	83.948	83.121	146.423	142.667	139.854	278.093	281.011	277.971	491.102	392.592	400.973
00:28:30	78.753	83.821	84.288	147.852	141.581	138.387	276.34	278.187	278.296	488.562	396.463	403.776
00:29:00	79.915	83.395	84.544	145.793	141.54	140.15	277.511	278.987	279.731	490.602	395.497	404.746
00:29:30	78.627	83.357	83.419	146.009	142.284	139.262	274.567	275.044	280.79	489.777	396.627	403.253
00:30:00	79.452	82.621	83.88	146.374	140.877	139.127	275.719	278.594	278.559	489.791	395.487	401.04
00:30:30	78.133	83.974	83.632	144.9	140.09	138.23	276.103	277.884	277.88	485.755	396.205	402.482
00:31:00	78.297	83.693	83.258	146.004	141.335	138.234	277.11	278.238	280.37	487.38	396.472	401.277
00:31:30	77.971	82.107	82.968	144.545	140.92	138.81	276.535	277.207	277.183	488.861	393.477	400.532
00:32:00	78.255	81.966	83.171	144.648	142.113	139.826	279.935	276.755	277.577	487.008	397.763	401.936
00:32:30	77.293	83.31	82.458	145.99	140.773	139.529	274.589	277.033	274.606	484.858	394.285	398.846
00:33:00	78.431	82.564	83.195	143.826	139.014	138.622	274.433	274.683	274.197	487.648	392.536	398.812
00:33:30	78.171	82.114	81.901	146.165	139.715	139.119	272.763	275.718	276.136	484.246	393.074	400.526
00:34:00	76.267	82.507	80.796	144.8	138.21	136.252	273.526	275.159	273.643	481.099	392.668	397.424
00:34:30	76.708	81.899	82.156	144.113	139.037	137.395	272.804	275.551	279.405	485.924	394.755	400.815
00:35:00	77.794	81.601	82.169	143.281	138.225	137.797	273.519	274.788	274.026	484.045	396.192	399.322
00:35:30	77.094	82.191	81.533	143.307	138.792	138.684	272.651	276.733	276.033	485.578	391.867	400.911
00:36:00	76.958	81.438	81.3	142.357	137.322	138.575	271.576	272.876	274.905	484.322	392.855	394.535
00:36:30	77.446	80.736	82.016	142.516	139.898	138.338	273.361	274.441	273.437	488.177	388.883	401.209
00:37:00	77.451	80.524	81.43	141.506	140.125	135.907	270.734	274.208	275.633	484.673	391.263	395.643
00:37:30	76.484	80.896	81.695	143.14	136.938	136.433	268.845	274.656	273.207	484.701	393.721	399.339
00:38:00	76.335	81.626	82.04	142.727	138.929	136.757	271.938	274.939	271.466	484.539	390.265	396.785
00:38:30	77.367	81.374	80.983	142.507	138.184	136.345	273.2	275.691	272.698	483.079	390.108	396.83
00:39:00	75.889	80.835	81.207	143.937	137.35	136.108	272.221	274.577	273.456	240.992	391.891	396.075
00:39:30	74.95	81.074	81.343	141.946	137.322	136.708	271.5	270.074	272.951	243.142	391.837	397.32
00:40:00	75.903	82.187	81.929	142.282	138.959	137.995	273.1	274.096	275.663	484.776	393.218	394.714
00:40:30	76.056	80.904	81.461	143.206	138.18	135.79	272.197	273.285	272.964	484.569	391.248	396.32
00:41:00	75.639	80.673	81.964	141.205	137.523	134.768	271.221	271.09	271.584	480.243	389.627	395.132
00:41:30	75.879	80.771	80.752	142.394	135.998	135.484	270.253	270.718	272.585	482.136	391.41	393.243
00:42:00	75.76	80.924	80.222	141.218	135.906	134.425	269.757	271.685	269.339	480.845	386.87	395.906
00:42:30	74.78	79.761	80.193	140.461	135.097	134.214	270.489	271.742	270.29	477.086	388.45	392.373
00:43:00	74.146	80.307	79.977	138.522	136.996	133.834	269.524	269.278	266.299	477.706	383.682	392.124
00:43:30	75.104	79.654	79.663	141.926	136.046	134.056	271.093	270.314	271.286	477.579	385.532	392.948
00:44:00	75.16	80.021	81.429	141.101	137.194	134.67	269.381	270.105	271.683	482.502	389.291	394.124
00:44:30	74.812	79.689	80.499	140.765	136.54	134.845	272.031	270.225	272.506	480.19	390.371	392.749
00:45:00	74.853	78.571	79.33	140.241	134.912	134.029	268.751	269.565	270.203	476.417	388.041	391.849
00:45:30	73.742	80.35	80.858	140.348	136.524	133.58	269.542	272.641	269.822	481.582	387.596	392.037
00:46:00	73.971	78.828	79.85	138.141	135.184	133.524	269.333	270.003	270.026	477.586	385.149	392.636
00:46:30	74.151	79.805	80.225	141.571	134.765	134.212	269.343	267.923	270.451	478.538	386.611	391.335
00:47:00	74.808	79.433	78.949	139.558	136.307	133.169	267.696	268.544	270.345	478.935	386.974	392.447
00:47:30	73.536	78.652	79.047	139.331	135.105	134.217	267.982	271.264	269.146	478.196	387.874	391.077
00:48:00	73.908	78.928	79.831	140.752	135.36	134.244	267.859	268.039	270.543	478.59	384.986	390.37
00:48:30	73.698	78.414	78.862	138.937	134.269	134.207	267.989	267.785	270.059	477.605	383.774	388.991
00:49:00	73.872	78.641	79.263	139.278	134	133.558	269.424	270.224	268.351	477.955	385.218	392.518
00:49:30	72.961	78.923	78.881	138.71	134.761	133.345	267.81	266.36	269.204	473.545	381.265	389.927
00:50:00	73.142	79.065	78.474	137.623	134.469	133.38	267.373	266.779	265.477	474.383	382.276	389.764
00:50:30	73.365	78.308	79.591	139.094	134.529	131.372	265.633	266.543	269.016	476.701	386.831	389.94
00:51:00	73.692	78.309	79.752	137.862	134.355	133.281	267.301	268.119	267.169	477.697	387.967	389.309
00:51:30	71.982	77.904	78.504	137.754	133.134	132.141	267.489	264.457	264.682	475.922	382.715	387.475
00:52:00	72.576	78.44	78.774	138.385	133.852	133.761	267.716	268.491	268.966	477.349	383.641	391.152
00:52:30	73.108	77.517	79.384	138.342	132.738	132.696	265.947	265.652	266.692	237.884	382.822	388.585
00:53:00	72.342	79.075	79.729	139.298	133.532	132.761	269.339	268.89	268.367	476.29	385.173	390.306
00:53:30	72.849	77.337	78.919	138.503	133.471	131.237	269.501	267.787	270.23	480.618	386.181	388.177
00:54:00	72.891	78.504	78.909	136.902	133.737	132.005	264.39	268.024	267.681	474.799	380.362	389.786
00:54:30	72.142	77.802	78.674	136.385	133.442	131.61	265.401	266.33	263.3	474.071	382.672	384.379
00:55:00	72.401	78.409	78.974	136.193	134.995	131.353	266.365	265.671	266.289	476.044	382.53	388.113
00:55:30	72.635	77.671	78.019	138.001	133.439	132.147	262.77	267.42	265.097	473.705	382.128	389.47
00:56:00	71.962	78.317	78.253	135.679	132.91	131.52	264.599	266.883	265.88	469.239	380.962	388.859
00:56:30	71.464	77.601	79.005	136.899	133.327	130.617	264.143	264.611	266.63	469.471	383.734	386.026
00:57:00	72.108	78.944	79.084	136.456	132.089	132.017	266.357	269.159	268.285	470.281	382.089	384.225
00:57:30	71.55	78.085	78.048	135.777	133.958	131.183	265.331	265.585	267.712	472.104	379.862	388.122
00:58:00	73.468	78.588	79.03	136.773	132.501	132.86	267.874	267.867	267.042	238.898	383.543	386.624
00:58:30	72.58	77.378	78.382	134.758	131.598	131.726	262.559	265.132	265.818	236.185	383.093	385.649
00:59:00	72.965	76.538	77.807	136.817	132.347	129.427	261.969	265.626	265.402	472.547	382.725	388.542
00:59:30	72.852	77.568	77.683	135.187	132.922	131.316	263.293	264.877	263.848	473.931	383.977	388.709
