Time	50_1	50_2	50_3	100_1	100_2	100_3
00:00:00	171.876	164.038	181.734	342.293	313.942	312.341
00:00:30	168.264	163.03	177.935	330.453	308.448	306.67
00:01:00	166.276	161.701	175.961	330.464	301.671	303.422
00:01:30	165.515	159.146	174.717	326.261	298.264	300.006
00:02:00	164.752	156.817	173.089	322.462	296.201	296.816
00:02:30	162.208	154.721	171.067	317.502	293.344	294.585
00:03:00	160.092	153.469	170.31	315.507	291.856	289.801
00:03:30	159.409	151.955	165.839	311.598	287.151	290.481
00:04:00	157.808	152.149	166.883	308.935	286.499	286.814
00:04:30	157.195	151.047	163.911	310.192	284.891	284.133
00:05:00	155.377	148.931	163.327	306.429	281.447	284.996
00:05:30	154.31	147.004	162.078	300.684	278.986	278.556
00:06:00	151.925	143.89	158.329	301.38	272.471	276.602
00:06:30	152.558	146.323	159.369	300.013	276.71	277.176
00:07:00	151.091	143.247	157.46	299.154	272.232	276.624
00:07:30	150.234	144.605	158.063	296.077	270.438	272.556
00:08:00	146.991	140.879	155.688	293.508	268.394	271.029
00:08:30	148.989	140.552	156.368	291.018	265.084	269.737
00:09:00	148.458	141.663	154.926	290.204	268.378	270.585
00:09:30	148.346	140.038	153.969	291.946	268.445	271.603
00:10:00	145.827	140.998	152.402	287.838	268.681	266.066
00:10:30	144.987	138.146	151.811	288.354	264.825	267.489
00:11:00	146.291	137.858	151.373	287.339	261.454	266.762
00:11:30	144.96	137.95	149.36	284.412	261.326	266.827
00:12:00	142.679	137.963	149.097	285.153	260.59	262.085
00:12:30	142.92	134.402	148.411	286.11	258.118	264.676
00:13:00	142.431	136.283	146.634	279.779	255.886	260.302
00:13:30	142.335	135.347	147.596	281.708	257.634	261.392
00:14:00	141.893	134.956	146.08	278.092	255.486	261.252
00:14:30	139.891	132.195	143.934	282.009	254.497	261.445
00:15:00	140.353	135.313	146.016	279.947	257.15	262.367
00:15:30	140.73	133.744	146.328	280.765	257.339	260.985
00:16:00	138.17	131.068	145.505	277.908	252.776	260.868
00:16:30	140.088	133.443	144.369	277.38	255.05	260.619
00:17:00	139.756	132.331	144.684	279.178	254.334	259.892
00:17:30	139.364	130.814	144.055	275.411	253.156	257.771
00:18:00	136.426	130.277	143.217	276.76	252.253	257.768
00:18:30	135.994	130.829	140.92	272.542	250.527	257.229
00:19:00	139.297	131.387	141.239	275.749	253.544	259.208
00:19:30	137.305	129.764	141.069	274.35	250.376	257.363
00:20:00	137.649	130.202	141.434	274.243	250.334	256.704
00:20:30	137.409	130.347	141.196	274.232	252.344	256.955
00:21:00	135.637	128.845	139.712	274.442	248.191	255.503
00:21:30	135.196	128.995	139.534	272.394	250.304	258.426
00:22:00	134.533	128.297	140.453	271.374	248.375	253.581
00:22:30	136.235	128.122	139.375	271.575	247.893	254.393
00:23:00	134.891	129.543	140.557	274.095	249.653	258.823
00:23:30	134.324	128.991	138.648	272.11	249.225	254.823
00:24:00	133.708	128.048	138.384	269.587	247.917	253.436
00:24:30	134.751	127.063	139.546	272.677	248.137	253.706
00:25:00	134.559	127.172	136.775	271.35	246.136	255.336
00:25:30	133.155	127.871	133.813	268.268	245.159	250.793
00:26:00	132.579	125.516	136.795	268.612	247.492	253.348
00:26:30	132.521	126.565	136.291	266.856	248.209	251.907
00:27:00	132.731	126.067	136.965	270.411	247.767	252.725
00:27:30	132.212	125.562	135.098	268.03	245.384	254.127
00:28:00	131.139	124.255	136.269	265.997	245.073	252.252
00:28:30	131.078	126.018	134.258	268.463	243.616	249.671
00:29:00	132.61	126.077	135.593	267.694	244.989	251.023
00:29:30	131.194	124.657	135.094	264.232	240.662	250.192
00:30:00	131.617	125.514	135.211	263.46	242.692	250.334
00:30:30	130.564	125.957	135.631	265.532	242.081	252.796
00:31:00	131.736	124.978	134.644	265.414	243.75	251.887
00:31:30	130.097	125.411	135.54	263.597	243.612	251.761
00:32:00	132.037	126.448	135.333	265.614	242.635	250.274
00:32:30	130.643	123.567	133.221	263.12	241.773	249.303
00:33:00	129.938	122.353	131.206	262.925	238.936	249.969
00:33:30	129.55	122.67	133.482	261.097	238.995	246.686
00:34:00	129.709	123.005	132.404	260.877	239.889	247.039
00:34:30	129.921	122.655	132.377	262.29	240.934	249.919
00:35:00	130.252	123.787	132.87	262.013	239.077	249.475
00:35:30	130.49	123.714	132.865	263.038	239.955	248.431
00:36:00	128.544	122.32	131.848	260.997	239.264	250.137
00:36:30	130.118	124.133	131.238	259.627	238.358	247.273
00:37:00	127.816	123.261	131.381	260.186	240.857	249.281
00:37:30	127.509	123.635	131.154	259.111	236.332	246.18
00:38:00	127.323	122.906	131.806	258.923	238.529	246.339
00:38:30	128.475	122.738	130.722	260.443	237.845	245.877
00:39:00	127.576	122.118	132.138	259.289	237.64	245.228
00:39:30	128.648	121.927	130.401	257.297	237.249	246.109
00:40:00	129.627	122.616	131.722	260.616	237.491	247.413
00:40:30	128.115	121.89	130.421	260.568	236.865	247.657
00:41:00	127.593	122.613	129.769	258.134	236.078	245.095
00:41:30	127.259	121.62	129.838	259.688	237.774	244.479
00:42:00	127.29	121.433	130.954	258.893	237.931	245.073
00:42:30	125.579	120.764	129.327	256.956	236.464	244.204
00:43:00	127.801	120.521	128.199	258.363	232.499	241.883
00:43:30	125.882	120.039	128.427	254.583	233.071	241.36
00:44:00	127.739	121.994	127.9	256.311	234.764	243.576
00:44:30	127.073	120.707	129.935	255.494	237.206	245.202
00:45:00	124.501	122.236	128.288	255.644	233.499	243.597
00:45:30	125.68	118.847	128.148	253.361	235.577	243.406
00:46:00	126.664	120.896	128.319	256.626	233.167	243.36
00:46:30	126.018	120.26	128.395	255.836	233.655	243.977
00:47:00	127.149	120.666	129.235	256.585	234.521	244.441
00:47:30	124.488	120.463	128.001	256.547	234.088	243.397
00:48:00	126.291	119.799	129.854	254.137	233.046	242.743
00:48:30	124.445	118.258	126.585	256.307	233.126	242.555
00:49:00	125.802	119.146	128.653	253.446	234.569	241.454
