Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	83.73	84.064	76.269	165.568	176.106	190.889	328.284	351.336	318.363	455.06	492.844	267.681
00:00:30	84.713	84.344	75.626	168.038	177.7	191.596	330.926	354.685	319.747	463.99	500.682	265.999
00:01:00	85.061	84.315	75.387	167.024	176.101	189.88	329.848	348.092	319.866	466.906	501.247	268.699
00:01:30	85.618	84.658	75.899	166.789	181.029	193.286	332.428	354.523	322.215	468.863	504.077	269.009
00:02:00	84.151	85.123	76.07	168.219	178.284	194.153	332.794	351.277	322.561	472.629	508.859	271.628
00:02:30	85.348	84.951	76.228	167.821	178.055	195.307	334.965	355.443	323.305	470.467	506.705	272.286
00:03:00	85.526	84.567	76.532	169.071	180.505	193.265	335.88	354.729	325.794	475.43	508.263	273.665
00:03:30	85.426	85.219	75.971	169.539	179.573	197.374	337.182	357.51	325.108	470.781	510.068	274.142
00:04:00	87.027	85.586	76.875	170.347	180.2	194.636	336.645	357.752	325.214	474.643	510.914	275.802
00:04:30	85.847	86.341	77.238	169.173	180.669	196.133	335.775	362.158	328.137	479.125	512.339	274.944
00:05:00	85.666	87.07	77.157	169.004	180.064	196.742	337.957	358.766	326.462	474.51	513.369	276.225
00:05:30	86.665	86.13	77.336	170.215	180.163	194.299	338.673	358.463	325.679	478.372	513.378	276.834
00:06:00	87.143	87.641	78.792	171.894	182.841	198.589	339.161	359.788	327.798	478.072	515.205	277.471
00:06:30	87.109	86.758	79.008	172.336	181.169	197.606	342.237	360.728	332.833	482.348	515.587	279.769
00:07:00	87.34	87.183	77.688	173.649	181.678	199.808	340.522	362.741	330.115	485.188	518.581	279.539
00:07:30	86.428	87.173	77.699	171.801	183.853	198.165	340.708	360.76	329.653	484.215	517.416	278.772
00:08:00	87.551	86.353	78.729	170.613	181.819	197.904	340.542	360.477	329.583	478.26	517.833	281.239
00:08:30	87.712	86.629	78.021	171.077	183.831	196.842	340.715	360.934	329.733	483.37	518.259	280.063
00:09:00	86.629	86.596	78.302	171.479	183.12	197.234	342.135	363.558	331.535	484.288	517.263	280.986
00:09:30	87.895	88.243	78.69	173.108	183.09	197.553	344.481	362.717	331.62	485.041	521.326	284.3
00:10:00	87.685	87.487	77.782	174.402	185.886	198.465	343.29	365.508	333.815	484.895	521.644	285.829
00:10:30	88.039	88.079	77.785	173.873	182.837	198.951	342.736	362.647	328.842	486.438	522.157	281.097
00:11:00	88.263	87.667	79.028	172.382	183.068	201.237	345.671	365.639	333.8	484.967	523.35	286.482
00:11:30	87.55	88.662	78.5	172.825	182.66	200.861	346.822	363.129	330.969	485.949	526.215	284.312
00:12:00	89.298	88.17	79.105	174.36	183.586	198.807	341.99	364.444	334.046	486.012	520.066	284.772
00:12:30	89.623	89.046	78.286	174.073	185.199	200.093	347.183	368.863	332.561	488.689	526.031	284.488
00:13:00	89.369	88.293	79.597	173.744	183.193	201.234	346.864	367.404	332.543	487.673	527.463	286.383
00:13:30	87.568	88.023	79.258	173.968	183.646	200.685	345.938	363.775	333.604	486.707	523.756	285.73
00:14:00	88.886	88.201	79.283	174.969	183.959	202.334	348.717	367.252	334.853	490.23	524.885	285.231
00:14:30	89.165	87.441	79.681	173.546	185.052	201.276	347.51	368.14	335.274	490.244	524.572	287.009
00:15:00	89.24	87.954	78.938	174.565	185.176	200.588	350.691	369.569	335.794	491.277	526.522	288.643
00:15:30	88.904	89.855	78.966	174.119	186.253	200.823	348.37	365.652	337.621	491.234	525.085	287.067
00:16:00	90.01	89.309	79.367	173.905	185.002	200.534	348.588	367.913	337.305	491.9	529.027	288.054
00:16:30	88.928	88.506	79.817	175.845	186.104	205.135	348.518	369.736	335.465	491.468	527.061	287.8
00:17:00	88.335	88.592	78.834	174.228	185.02	201.194	350.817	367.299	334.595	490.634	520.636	288.381
00:17:30	89.233	89.089	79.203	173.685	188.76	201.404	349.001	370.333	335.576	494.587	529.566	290.041
00:18:00	89.857	90.087	80.113	174.813	185.867	200.41	349.974	368.908	337.098	492.289	532.158	287.775
00:18:30	89.489	89.619	79.252	177.279	187.455	201.597	352.758	372.646	338.02	495.574	528.266	289.864
00:19:00	91.199	89.848	81.434	174.99	186.192	204.461	354.04	373.2	341.599	497.282	532.328	292.113
00:19:30	89.651	88.709	79.432	175.3	186.098	203.116	352.25	369.466	338.599	496.9	531.012	289.447
00:20:00	89.822	89.922	80.062	176.391	184.059	202.815	351.642	370.92	335.026	497.139	530.658	290.795
