Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	85.866	83.744	87.953	182.796	183.627	186.458	344.481	367.419	363.21	606.771	615.236	568.646
00:00:30	87.566	84.092	89.593	184.319	186.301	187.349	345.355	369.609	363.835	611.5	624.482	573.569
00:01:00	86.908	84.429	90.074	182.81	185.353	189.448	347.657	372.143	363.528	610.858	624.531	571.644
00:01:30	88.896	84.705	91.903	185.003	189.035	190.788	351.74	371.599	369.466	619.469	628.546	582.905
00:02:00	88.024	84.55	90.768	187.268	187.944	191.28	349.766	374.985	364.811	617.001	631.139	580.125
00:02:30	88.257	85.922	91.95	187.174	188.863	190.669	350.282	372.306	369.219	617.321	626.717	584.317
00:03:00	87.594	84.648	91.14	185.218	188.324	193.304	353.409	375.757	369.034	620.741	627.579	585.373
00:03:30	88.398	84.23	91.914	186.893	189.49	190.956	351.865	374.674	370.372	619.894	632.404	588.273
00:04:00	88.252	86.259	91.99	187.796	189.886	193.382	354.713	376.4	372.397	617.412	628.236	585.496
00:04:30	87.19	86.282	92.179	186.348	187.34	191.853	352.265	377.191	370.254	619.487	628.581	585.167
00:05:00	88.787	85.147	93.558	187.876	190.463	192.582	351.229	377.677	368.949	626.379	634.702	586.127
00:05:30	88.08	87.074	92.69	186.93	192.615	191.916	354.181	377.578	370.086	619.606	635.204	589.634
00:06:00	88.058	86.404	93.087	190.135	192.951	194.762	355.742	379.408	374.924	628.964	633.64	593.464
00:06:30	88.649	86.419	93.436	188.079	192.06	194.734	355.241	377.603	373.659	621.583	641.283	592.648
00:07:00	89.723	85.863	93.225	189.75	192.605	195.647	358.248	381.714	376.428	627.086	639.929	592.928
00:07:30	88.059	85.996	93.54	189.151	191.705	194.672	357.576	379.821	372.975	624.2	643.34	591.164
00:08:00	88.783	86.172	93.646	189.541	189.633	193.339	355.593	376.334	374.935	621.679	638.53	588.818
00:08:30	89.585	86.915	94.899	187.234	190.61	194.771	354.145	379.917	373.101	626.21	633.234	588.419
00:09:00	88.337	87.713	93.427	188.565	192.036	194.3	353.478	382.312	374.015	629.435	637.092	589.554
00:09:30	89.44	86.497	93.089	189.351	192.21	195.139	358.14	381.755	376.337	635.567	645.519	597.512
00:10:00	89.758	87.062	93.973	190.071	191.606	194.744	360.362	383.416	376.587	630.088	644.914	596.744
00:10:30	89.887	86.4	92.06	188.979	190.689	194.28	356.078	379.125	374.795	624.199	643.497	590.846
00:11:00	89.47	86.826	94.314	190.514	193.307	196.797	357.098	381.651	379.679	633.4	644.59	593.83
00:11:30	88.53	86.181	92.894	190.624	193.594	197.05	356.935	380.306	376.716	627.517	645.614	591.195
00:12:00	88.877	86.186	93.118	191.499	192.952	195.958	362.417	381.238	377.223	628.285	647.693	593.733
00:12:30	89.435	88.256	93.995	190.915	193.411	197.275	360.366	386.062	379.306	634.25	647.341	601.509
00:13:00	89.463	87.279	93.77	192.391	192.324	199.347	358.585	389.287	378.966	633.583	646.04	599.37
00:13:30	89.959	87.975	94.455	190.183	191.654	195.197	360.056	384.651	376.542	630.379	646.165	593.335
00:14:00	89.68	87.996	93.466	188.445	193.559	197.135	361.974	382.792	380.279	634.048	645.89	596.597
00:14:30	89.492	87.318	94.61	191.647	191.966	196.27	359.41	385.248	380.957	631.949	649.367	599.873
00:15:00	89.687	88.232	93.491	192.843	194.051	198.45	363.607	384.08	377.406	643.082	649.651	605.44
00:15:30	88.608	87.067	94.351	191.136	192.205	194.743	359.409	381.492	373.185	635.92	645.015	599.59
00:16:00	90.042	87.906	95.109	193.311	194.568	198.502	362.08	388.786	378.61	636.835	651.426	604.577
00:16:30	89.272	88.068	94.22	190.397	192.42	198.225	359.453	387.182	375.886	636.719	653.799	604.028
00:17:00	90.293	88.685	94.491	189.064	194.064	197.032	359.784	385.804	377.738	634.755	646.626	603.88
00:17:30	90.901	88.198	96.024	192.673	194.14	198.88	360.316	385.388	376.442	636.337	650.656	605.652
