Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	86.249	86.741	94.655	187.414	184.494	183.794	361.791	374.64	363.4	617.716	657.802	536.142
00:00:30	86.774	85.723	94.363	186.613	187.897	186.151	364.66	378.033	367.93	623.801	663.293	537.842
00:01:00	86.323	88.415	94.111	186.172	188.26	188.227	362.086	379.019	364.003	630.098	667.998	538.801
00:01:30	88.351	88.357	94.267	188.148	189.671	190.271	367.144	380.899	368.428	632.585	676.335	540.864
00:02:00	87.163	89.291	94.147	187.97	190.016	192.105	367.41	383.263	371.53	636.366	680.049	545.89
00:02:30	87.217	89.232	93.317	187.404	189.822	190.971	369.28	384.748	367.325	634.137	681.228	548.415
00:03:00	88.186	89.168	94.565	189.869	189.842	192.347	370.135	385.77	372.76	640.583	684.815	550.103
00:03:30	87.253	89.472	95.333	188.224	190.841	192.453	372.351	388.512	368.541	638.494	689.907	551.786
00:04:00	88.983	89.846	95.402	189.673	193.538	194.457	372.133	389.442	373.49	643.385	687.56	551.809
00:04:30	89.934	90.241	97.583	190.55	191.462	194.21	373.553	389.741	373.102	647.177	692.956	550.628
00:05:00	88.739	89.117	95.38	190.226	190.429	195.469	373.201	389.967	370.599	642.97	693.06	547.182
00:05:30	88.446	89.714	96.217	189.387	190.38	194.354	374.848	389.471	373.142	644.315	690.614	551.45
00:06:00	89.106	90.981	96.281	191.8	191.319	197.358	372.627	391.859	372.901	647.975	699.147	557.489
00:06:30	89.059	90.234	97.313	191.59	193.44	195.064	374.069	387.424	374.73	643.871	695.554	552.201
00:07:00	91.176	89.433	97.865	195.139	197.224	197.019	376.596	396.597	378.188	652.205	700.675	555.591
00:07:30	90.495	91.257	98.127	192.958	194.715	194.93	377.982	392.881	378.331	650.199	705.908	554.023
00:08:00	89.761	91.038	97.73	193.742	193.536	194.785	372.819	390.294	378.063	649.212	702.295	554.064
00:08:30	90.157	90.035	97.217	192.349	194.47	195.766	373.198	392.902	375.34	653.434	702.128	555.996
00:09:00	89.716	91.017	98.308	192.449	193.623	196.725	378.851	395.807	380.394	648.637	705.007	555.921
00:09:30	90.731	91.743	98.121	193.804	193.196	198.602	374.584	393.089	378.403	654.38	706.089	558.237
00:10:00	90.948	91.318	98.518	195.295	194.503	197.795	380.723	394.063	377.748	656.016	710.458	559.929
00:10:30	88.93	91.446	98.039	194.555	193.368	196.307	377.905	394.677	379.586	650.112	703.413	555.797
00:11:00	90.833	91.808	97.924	195.115	195.448	199.609	379.648	397.706	382.041	656.925	713.425	562.024
00:11:30	90.271	91.724	97.732	193.686	194.267	198.483	380.01	396.237	378.159	653.698	709.268	559.97
00:12:00	91.231	91.714	98.551	193.797	194.589	198.175	377.932	397.313	379.664	659.766	712.724	564
00:12:30	89.713	92.517	99.46	194.858	196.328	197.884	377.283	398.575	380.7	660.999	715.525	563.19
00:13:00	91.558	91.842	99.495	194.89	195.942	200.606	382.21	398.231	380.458	665.876	714.897	560.667
00:13:30	90.186	91.293	98.493	195.092	196.884	199.033	379.651	395.665	383.291	660.622	712.359	558.78
00:14:00	90.896	92.726	98.568	195.691	196.253	198.439	381.572	399.206	379.92	658.697	714.058	569.613
00:14:30	90.754	92.254	98.915	195.752	195.756	199.016	383.143	395.318	383.873	661.509	718.63	564.974
00:15:00	92.42	92.441	99.961	196.779	196.829	201.246	384.568	399.933	381.999	663.821	716.229	567
00:15:30	91.183	91.737	100.362	195.837	197.29	199.556	382.781	401.757	381.696	661.215	719.244	564.739
00:16:00	92.286	94.249	98.54	195.229	197.064	201.747	384.783	398.79	382.784	669.262	715.14	569.631
00:16:30	92.569	93.856	99.78	195.813	197.021	200.895	383.437	400.277	386.68	667.383	724.4	569.632
00:17:00	91.44	93.468	98.227	196.886	196.06	197.697	380.105	398.721	383.211	662.824	719.626	564.728
00:17:30	92.702	93.294	99.201	196.444	198.286	201.294	382.756	400.026	383.019	664.271	719.122	569.27
00:18:00	90.893	92.336	99.163	196.159	197.011	201.996	382.422	402.231	384.181	665.454	723.543	567.532
00:18:30	92.13	92.882	99.429	196.482	199.038	200.181	388.431	400.096	385.56	668.646	723.937	569.103
00:19:00	92.469	93.983	98.799	196.998	198.744	200.459	385.141	401.587	385.529	672.741	723.17	574.023
00:19:30	90.941	93.15	100.31	197.782	198.254	200.75	385.859	399.965	386.176	669.277	719.948	574.799
00:20:00	92.349	92.589	98.745	195.421	197.941	202.651	385.211	401.751	385.97	665.702	716.363	567.53
00:20:30	92.122	93.369	100.034	196.014	199.498	201.239	381.189	405.238	383.304	668.546	716.466	571.677
00:21:00	92.468	92.46	99.54	197.633	196.032	198.962	382.554	398.187	380.431	667.57	719.875	570.497
00:21:30	91.756	93.604	99.34	196.289	197.332	202.541	382.761	404.276	384.559	672.018	723.995	575.654
00:22:00	91.821	94.223	99.638	195.802	198.12	204.496	385.311	398.94	385.017	671.439	723.377	568.563
00:22:30	92.176	93.666	99.738	197.149	198.291	200.934	384.096	401.927	383.041	668.592	723.334	570.885
00:23:00	92.472	92.899	98.74	197.973	196.594	200.093	383.562	402.151	381.407	669.718	717.231	569.642
