Time	25_1	25_2	25_3	50_1	50_2	50_3	100_1	100_2	100_3	150_1	150_2	150_3
00:00:00	85.202	82.061	86.741	186.242	181.593	186.668	409.115	359.076	402.325	629.245	584.833	550.087
00:00:30	87.383	82.988	87.15	188.893	181.898	190.351	412.179	363.243	405.082	630.856	589.901	550.951
00:01:00	87.116	83.058	88.917	188.912	182.715	187.585	411.61	365.364	408.206	634.933	600.714	545.324
00:01:30	88.386	83.295	90.293	188.44	182.34	188.902	420.1	369.625	409.241	633.787	605.7	555.081
00:02:00	88.42	83.71	90.486	190.467	184.519	191.856	420.867	372.194	415.574	636.736	603.156	555.833
00:02:30	88.422	82.621	89.025	188.825	183.671	188.347	423.339	367.272	411.602	644.619	606.761	555.482
00:03:00	88.335	84.047	90.18	191.879	184.685	191.072	425.179	371.061	414.035	643.101	609.886	556.293
00:03:30	88.93	85.154	92.675	191.064	185.343	190.321	426.161	368.902	411.873	642.42	610.22	556.169
00:04:00	88.838	84.66	90.618	190.934	186.642	193.013	429.092	371.194	413.127	646.098	612.307	556.454
00:04:30	89.463	84.344	90.936	192.691	187.093	192.641	432.531	371.205	414.489	648.673	611.926	560.092
00:05:00	87.426	84.392	91.493	191.438	185.993	192.593	431.791	373.287	415.122	642.977	610.807	562.337
00:05:30	89.011	83.837	91.38	191.626	185.111	192.099	433.329	373.4	415.987	642.235	609.705	556.803
00:06:00	89.699	85.055	92.577	192.084	187.435	195.454	433.102	373.533	417.125	645.527	614.3	561.335
00:06:30	89.02	85.545	90.654	191.215	186.349	192.3	433.909	372.148	418.217	648.548	616.749	563.621
00:07:00	90.463	87.181	91.993	194.617	186.581	193.557	435.136	377.836	419.292	652.801	617.055	565.684
00:07:30	89.166	86.19	93.186	194.477	188.241	193.689	438.12	376.993	423.234	652.774	617.901	565.808
00:08:00	89.004	85.909	91.269	192.969	186.886	192.974	434.133	376.004	416.48	651.259	619.348	562.296
00:08:30	90.576	85.768	93.284	193.652	187.176	192.664	437.13	375.967	419.449	645.954	611.008	560.076
00:09:00	90.641	84.755	93.394	192.155	187.358	195.085	439.63	380.32	420.737	648.849	618.662	562.295
00:09:30	90.673	86.626	92.195	194.518	188.79	194.684	439.939	377.115	419.377	649.587	624.135	561.653
00:10:00	89.856	86.711	92.482	195.891	189.626	195.913	441.204	377.065	425.965	654.012	625.352	565.29
00:10:30	89.544	85.66	92.536	192.548	188.182	194.272	439.534	376.833	420.091	652.159	619.98	564.638
00:11:00	90.937	87.443	92.919	195.082	191.303	197.017	441.298	381.205	420.418	660.353	626.67	569.666
00:11:30	89.849	86.222	93.387	194.496	190.182	192.68	444.059	375.856	420.86	654.311	622.872	563.068
00:12:00	92.001	86.075	92.455	195.393	190.801	192.874	442.155	377.734	424.16	657.059	626.305	565.397
00:12:30	91.432	87.32	92.832	193.278	190.044	196.158	445.357	382.119	423.12	660.187	623.003	569.432
00:13:00	90.98	87.305	94.557	194.865	192.787	196.336	446.049	380.974	427.669	659.14	625.887	568.438
00:13:30	89.622	87.076	92.415	195.526	189.105	194.774	441.318	380.324	424.488	655.713	624.037	565.201
00:14:00	90.101	86.705	93.847	195.209	189.754	196.304	444.413	379.793	427.095	653.618	628.78	568.184
00:14:30	92.157	86.494	92.966	196.969	191.524	197.541	446.975	380.677	429.399	660.407	628.164	567.688
00:15:00	91.845	87.093	94.44	196.292	192.782	195.342	445.656	383.392	429.628	660.587	631.475	566.722
00:15:30	90.624	88.016	94.08	194.21	191.023	195.479	449.924	381.18	429.534	654.976	626.335	564.753
00:16:00	91.189	86.567	94.902	196.56	192.084	196.217	449.721	383.069	429.468	660.409	629.281	570.923
00:16:30	90.949	87.714	93.93	196.805	192.492	195.581	450.577	380.042	428.56	659.238	633.883	570.538
00:17:00	90.781	87.556	93.883	195.634	190.359	195.883	446.935	380.056	425.323	658.068	625.215	565.079
00:17:30	90.46	88.243	95.058	197.391	191.387	196.412	449.63	381.951	428.518	661.316	630.355	567.482
00:18:00	92.64	87.857	95.009	197.592	192.139	199.351	448.867	381.7	430.576	658.818	633.342	568.586
00:18:30	91.626	87.288	94.093	197.488	193.285	195.417	452.823	383.809	429.499	663.884	631.782	570.257
00:19:00	92.061	89.158	96.023	199.693	194.441	200.233	452.702	384.917	431.352	667.853	637.602	575.705
00:19:30	91.817	87.465	95.635	197.956	191.075	197.144	452.674	382.337	429.396	668.515	637.973	570.508
