file	sample	sample_name	condition	replicate
I:\Fadime\250203_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_1.raw	DSS3_ProMM_ML_1	DSS3_ProMM_ML	1
I:\Fadime\250203_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_2.raw	DSS3_ProMM_ML_2	DSS3_ProMM_ML	2
I:\Fadime\250203_Fadime_DSS3_ProMM_ML_3.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_3.raw	DSS3_ProMM_ML_3	DSS3_ProMM_ML	3
I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_I.raw	DSS3_++Cas_ML_I	DSS3_++Cas_ML	1
I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	DSS3_++Cas_ML_II	DSS3_++Cas_ML	2
I:\Fadime\250307\250308_++Cas_ML_III.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw	DSS3_++Cas_ML_III	DSS3_++Cas_ML	3
I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_I.raw	DSS3_-N+C_ML_I	DSS3_-N+C_ML	1
I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	DSS3_-N+C_ML_II	DSS3_-N+C_ML	2
I:\Fadime\250307\250308_-N+C_ML_III.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw	DSS3_-N+C_ML_III	DSS3_-N+C_ML	3
I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	DSS3_-N+C_Sec_ML_I	DSS3_-N+C_Sec_ML	1
I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	DSS3_-N+C_Sec_ML_II	DSS3_-N+C_Sec_ML	2
I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw	DSS3_-N+C_Sec_ML_III	DSS3_-N+C_Sec_ML	3
I:\Fadime\250307\250308_ProMM_Sec_ML_I.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_I.raw	DSS3_ProMM_Sec_ML_I	DSS3_ProMM_Sec_ML	1
I:\Fadime\250307\250308_ProMM_Sec_ML_II.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_II.raw	DSS3_ProMM_Sec_ML_II	DSS3_ProMM_Sec_ML	2
I:\Fadime\250307\250308_ProMM_Sec_ML_III.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_III.raw	DSS3_ProMM_Sec_ML_III	DSS3_ProMM_Sec_ML	3
