Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw
SPO0001	SPO0001				2.32E+06	2.47E+06	2.40E+06
SPO0002	SPO0002				1.11E+06	1.12E+06	1.19E+06
SPO0003	SPO0003				2.84E+06	3.43E+06	3.25E+06
SPO0004	SPO0004				6.38E+06	6.27E+06	6.33E+06
SPO0005	SPO0005				78498.8	118035	128555
SPO0006	SPO0006				1.32E+06	1.34E+06	1.23E+06
SPO0007	SPO0007				805914	1.29E+06	1.39E+06
SPO0008	SPO0008				5.97E+06	5.79E+06	6.11E+06
SPO0009	SPO0009				2.41E+06	3.15E+06	3.03E+06
SPO0010	SPO0010				1.42E+07	2.03E+07	2.03E+07
SPO0011	SPO0011				3.66E+06	4.03E+06	3.95E+06
SPO0012	SPO0012				1.06E+07	9.27E+06	9.39E+06
SPO0013	SPO0013				3.05E+06	2.61E+06	2.63E+06
SPO0014	SPO0014				426607	450540	488439
SPO0015	SPO0015				3.86E+06	3.64E+06	3.81E+06
SPO0016	SPO0016				1.61E+06	1.63E+06	1.60E+06
SPO0017	SPO0017				446642	819585	717203
SPO0018	SPO0018				2.12E+07	2.26E+07	2.40E+07
SPO0019	SPO0019				140210	307919	327654
SPO0020	SPO0020				2.08E+06	2.24E+06	2.30E+06
SPO0021	SPO0021				781000	1.08E+06	987065
SPO0022	SPO0022				285511	266203	289358
SPO0023	SPO0023				476119	452036	409992
SPO0024	SPO0024				3.37E+06	2.79E+06	2.88E+06
SPO0025	SPO0025				984713	655155	739660
SPO0026	SPO0026				2.18E+06	2.13E+06	2.13E+06
SPO0027	SPO0027				1.37E+06	1.66E+06	1.67E+06
SPO0028	SPO0028				682588	753609	787391
SPO0029	SPO0029				1.58E+06	1.40E+06	1.54E+06
SPO0030	SPO0030				1.83E+06	2.99E+06	2.92E+06
SPO0031	SPO0031				1.51E+06	1.72E+06	1.70E+06
SPO0033	SPO0033				215303	217872	196717
SPO0034	SPO0034				2.13E+06	2.49E+06	2.49E+06
SPO0035	SPO0035				1.13E+06	1.14E+06	1.07E+06
SPO0036	SPO0036				1.05E+06	1.07E+06	1.12E+06
SPO0037	SPO0037				580800	538091	529913
SPO0038	SPO0038				3.57E+06	5.14E+06	4.90E+06
SPO0039	SPO0039				7.44E+06	7.49E+06	7.31E+06
SPO0040	SPO0040				145090	265797	197569
SPO0041	SPO0041				1.27E+06	1.30E+06	1.49E+06
SPO0042	SPO0042				1.73E+06	1.29E+06	1.32E+06
SPO0043	SPO0043				5.45E+07	6.46E+07	6.70E+07
SPO0044	SPO0044				2.40E+07	1.82E+07	1.88E+07
SPO0045	SPO0045				729108	662878	673708
SPO0046	SPO0046				360912	325622	339947
SPO0046a	SPO0046a						136747
SPO0047	SPO0047				299883	353351	370752
SPO0048	SPO0048				280476	364000	313964
SPO0049	SPO0049				94041.3	123110	88457
