Accession Number	Annotation	1	2	3
SPO0001	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	2.32E+06	2.47E+06	2.40E+06
SPO0002	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	1.11E+06	1.12E+06	1.19E+06
SPO0003	Chromosome partitioning protein ParA	2.84E+06	3.43E+06	3.25E+06
SPO0004	Chromosome partitioning protein parB	6.38E+06	6.27E+06	6.33E+06
SPO0005	DUF454 domain-containing protein	78498.8	118035	128555
SPO0006	Heme chaperone HemW	1.32E+06	1.34E+06	1.23E+06
SPO0007	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	805914	1.29E+06	1.39E+06
SPO0008	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	5.97E+06	5.79E+06	6.11E+06
SPO0009	Heat-inducible transcription repressor HrcA	2.41E+06	3.15E+06	3.03E+06
SPO0010	Protein GrpE (HSP-70 cofactor)	1.42E+07	2.03E+07	2.03E+07
SPO0011	DNA mismatch repair protein MutS	3.66E+06	4.03E+06	3.95E+06
SPO0012	NADP-dependent malic enzyme (EC 1.1.1.40)	1.06E+07	9.27E+06	9.39E+06
SPO0013	Ribokinase (RK) (EC 2.7.1.15)	3.05E+06	2.61E+06	2.63E+06
SPO0014	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	426607	450540	488439
SPO0015	Branched-chain amino acid aminotransferase	3.86E+06	3.64E+06	3.81E+06
SPO0016	Sterol carrier family protein	1.61E+06	1.63E+06	1.60E+06
SPO0017	Calpastatin	446642	819585	717203
SPO0018	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	2.12E+07	2.26E+07	2.40E+07
SPO0019	"Membrane protein, putative"	140210	307919	327654
SPO0020	L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	2.08E+06	2.24E+06	2.30E+06
SPO0021	Hpt domain protein	781000	1.08E+06	987065
SPO0022	Response regulator	285511	266203	289358
SPO0023	"Hydrolase, NUDIX family"	476119	452036	409992
SPO0024	"Chaperonin, 33 kDa"	3.37E+06	2.79E+06	2.88E+06
SPO0025	"Hydrolase, NUDIX family"	984713	655155	739660
SPO0026	PolyA polymerase family protein	2.18E+06	2.13E+06	2.13E+06
SPO0027	"ABC transporter, transmembrane ATP-binding protein"	1.37E+06	1.66E+06	1.67E+06
