Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw
SPO0001	SPO0001				1.25E+06	1.23E+06	
SPO0002	SPO0002						
SPO0003	SPO0003						
SPO0004	SPO0004				3.28E+06	5.51E+06	4.07E+06
SPO0005	SPO0005						
SPO0006	SPO0006						
SPO0007	SPO0007				1.09E+07		
SPO0008	SPO0008				7.89E+06	5.69E+06	6.50E+06
SPO0009	SPO0009						
SPO0010	SPO0010				2.86E+07	2.41E+07	2.56E+07
SPO0011	SPO0011						
SPO0012	SPO0012				6.82E+06	8.00E+06	4.91E+06
SPO0013	SPO0013						
SPO0014	SPO0014				2.63E+06		
SPO0015	SPO0015				3.02E+06	4.76E+06	2.33E+06
SPO0016	SPO0016						
SPO0017	SPO0017						
SPO0018	SPO0018				1.22E+07	1.28E+07	1.61E+07
SPO0019	SPO0019						
SPO0020	SPO0020						
SPO0021	SPO0021						
SPO0022	SPO0022					5.34E+07	
SPO0023	SPO0023						
SPO0024	SPO0024				6.38E+06	5.68E+06	3.98E+06
SPO0025	SPO0025						
SPO0026	SPO0026					9.33E+06	
SPO0027	SPO0027						
SPO0028	SPO0028					5.04E+07	
SPO0029	SPO0029				1.18E+07	7.67E+06	6.22E+07
SPO0030	SPO0030						
SPO0031	SPO0031						
SPO0033	SPO0033						
SPO0034	SPO0034						
SPO0035	SPO0035						
SPO0036	SPO0036						
SPO0037	SPO0037						9.34E+06
SPO0038	SPO0038				4.59E+06	4.57E+06	4.15E+06
SPO0039	SPO0039				5.73E+06	5.12E+06	6.26E+06
SPO0040	SPO0040						
SPO0041	SPO0041				780450	319158	
SPO0042	SPO0042						2.06E+06
SPO0043	SPO0043				7.66E+07	8.59E+07	8.96E+07
SPO0044	SPO0044				8.26E+06	9.25E+06	7.70E+06
SPO0045	SPO0045						
SPO0046	SPO0046					1.39E+08	
SPO0046a	SPO0046a						
SPO0047	SPO0047						
SPO0048	SPO0048						
SPO0049	SPO0049						
SPO0050	SPO0050				7.26E+06	4.41E+06	5.07E+06
SPO0051	SPO0051						
SPO0052	SPO0052						
SPO0053	SPO0053						
SPO0054	SPO0054						
SPO0055	SPO0055					1.61E+06	
SPO0056	SPO0056						
SPO0057	SPO0057				1.15E+07	1.13E+07	1.20E+07
SPO0058	SPO0058				1.54E+07	1.63E+07	1.67E+07
SPO0059	SPO0059				1.19E+07	1.18E+07	1.28E+07
SPO0060	SPO0060						
SPO0061	SPO0061				3.87E+07	4.15E+07	4.57E+07
SPO0062	SPO0062				1.32E+06	2.23E+06	4.37E+06
SPO0063	SPO0063				2.81E+07	2.43E+07	2.91E+07
SPO0064	SPO0064						
SPO0066	SPO0066					3.87E+06	3.78E+06
SPO0067	SPO0067				1.57E+06		5.86E+06
SPO0068	SPO0068						
SPO0069	SPO0069						
SPO0070	SPO0070					8.43E+06	
SPO0071	SPO0071						
SPO0072	SPO0072				8.61E+07	9.94E+07	
SPO0073	SPO0073						
SPO0075	SPO0075				3.72E+07	2.92E+07	3.30E+07
SPO0076	SPO0076				5.13E+06		6.27E+06
SPO0077	SPO0077				8.55E+07	1.04E+07	7.35E+07
SPO0078	SPO0078				3.01E+07	2.91E+07	3.83E+07
SPO0079	SPO0079						
SPO0080	SPO0080						5.29E+06
SPO0081	SPO0081						
SPO0082	SPO0082				4.72E+06	3.69E+06	2.83E+06
SPO0083	SPO0083				1.03E+06		
SPO0084	SPO0084						
SPO0085	SPO0085						
SPO0086	SPO0086				3.30E+06		3.14E+06
SPO0087	SPO0087						
SPO0088	SPO0088						
SPO0089	SPO0089						
SPO0090	SPO0090						
SPO0091	SPO0091					4.10E+06	
SPO0092	SPO0092						
SPO0093	SPO0093					1.03E+06	
SPO0094	SPO0094						
SPO0095	SPO0095					1.06E+07	
SPO0096	SPO0096						
SPO0097	SPO0097				3.15E+06		4.24E+06
SPO0098	SPO0098						
SPO0099	SPO0099						
SPO0100	SPO0100						
SPO0101	SPO0101				6.95E+07	1.42E+07	1.55E+07
SPO0102	SPO0102				1.86E+06	2.97E+06	2.52E+06
SPO0103	SPO0103						
SPO0104	SPO0104				7.24E+06	8.38E+06	7.43E+06
SPO0105	SPO0105				1.57E+06		
SPO0106	SPO0106				4.43E+06	4.98E+06	6.87E+06
SPO0107	SPO0107						
SPO0109	SPO0109						
SPO0110	SPO0110						
