Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw
SPO0001	SPO0001				3.06E+06	2.91E+06	2.96E+06
SPO0002	SPO0002				1.52E+06	1.47E+06	1.51E+06
SPO0003	SPO0003				3.87E+06	3.67E+06	3.87E+06
SPO0004	SPO0004				6.46E+06	6.57E+06	6.39E+06
SPO0005	SPO0005				151474	101262	111144
SPO0006	SPO0006				1.65E+06	1.70E+06	1.71E+06
SPO0007	SPO0007				1.61E+06	1.70E+06	1.51E+06
SPO0008	SPO0008				8.21E+06	7.65E+06	7.91E+06
SPO0009	SPO0009				1.75E+06	1.79E+06	1.76E+06
SPO0010	SPO0010				2.34E+07	2.27E+07	2.29E+07
SPO0011	SPO0011				4.13E+06	4.08E+06	4.01E+06
SPO0012	SPO0012				9.98E+06	9.44E+06	9.67E+06
SPO0013	SPO0013				2.57E+06	2.60E+06	2.65E+06
SPO0014	SPO0014				293225	254110	283549
SPO0015	SPO0015				3.65E+06	3.55E+06	3.56E+06
SPO0016	SPO0016				1.55E+06	1.39E+06	1.44E+06
SPO0017	SPO0017				831130	926440	893131
SPO0018	SPO0018				2.01E+07	2.02E+07	2.03E+07
SPO0019	SPO0019				373904	387104	368767
SPO0020	SPO0020				2.27E+06	2.21E+06	2.28E+06
SPO0021	SPO0021				124514		
SPO0022	SPO0022				13534.8	20635.1	61463
SPO0023	SPO0023				474951	491828	499178
SPO0024	SPO0024				3.91E+06	4.33E+06	4.15E+06
SPO0025	SPO0025				737349	638940	623743
SPO0026	SPO0026				2.15E+06	2.14E+06	2.05E+06
SPO0027	SPO0027				1.24E+06	1.22E+06	1.18E+06
SPO0028	SPO0028				626385	573457	564320
SPO0029	SPO0029				1.60E+06	1.56E+06	1.52E+06
SPO0030	SPO0030				2.87E+06	2.76E+06	2.75E+06
SPO0031	SPO0031				2.46E+06	2.41E+06	2.43E+06
SPO0033	SPO0033				262478	270635	294028
SPO0034	SPO0034				1.80E+06	1.78E+06	1.72E+06
SPO0035	SPO0035				1.31E+06	1.26E+06	1.29E+06
SPO0036	SPO0036				1.10E+06	1.00E+06	1.11E+06
SPO0037	SPO0037				685308	646711	675952
SPO0038	SPO0038				4.18E+06	4.24E+06	4.26E+06
SPO0039	SPO0039				7.10E+06	6.91E+06	7.11E+06
SPO0040	SPO0040				365430	335532	374273
SPO0041	SPO0041				1.58E+06	1.49E+06	1.57E+06
SPO0042	SPO0042				1.30E+06	1.34E+06	1.26E+06
SPO0043	SPO0043				7.87E+07	7.83E+07	7.73E+07
SPO0044	SPO0044				1.50E+07	1.51E+07	1.50E+07
SPO0045	SPO0045				581395	530453	519769
SPO0046	SPO0046				268183	283636	255508
SPO0046a	SPO0046a				158224		84810.3
SPO0047	SPO0047				405297	393911	364077
SPO0048	SPO0048				317488	309259	294148
SPO0049	SPO0049				112122	117439	120841
SPO0050	SPO0050				4.16E+06	4.51E+06	4.25E+06
SPO0051	SPO0051				497860	448718	480195
SPO0052	SPO0052				195440	187653	177635
SPO0053	SPO0053				387071	330933	397539
SPO0054	SPO0054				230017	188642	198548
SPO0055	SPO0055				3.15E+06	3.25E+06	3.29E+06
SPO0056	SPO0056				152155	162339	126594
SPO0057	SPO0057				1.54E+07	1.54E+07	1.50E+07
SPO0058	SPO0058				1.52E+07	1.59E+07	1.43E+07
SPO0059	SPO0059				1.33E+07	1.33E+07	1.35E+07
SPO0060	SPO0060				1.43E+06	1.37E+06	1.39E+06
SPO0061	SPO0061				5.31E+07	5.31E+07	5.21E+07
SPO0062	SPO0062				4.69E+06	4.69E+06	4.54E+06
SPO0063	SPO0063				2.78E+07	2.87E+07	2.81E+07
SPO0064	SPO0064				1.71E+06	1.72E+06	1.54E+06
SPO0066	SPO0066				4.61E+06	4.61E+06	4.50E+06
SPO0067	SPO0067				3.33E+06	3.24E+06	3.28E+06
SPO0068	SPO0068				3.84E+06	3.97E+06	3.88E+06
SPO0069	SPO0069				2.07E+06	2.02E+06	1.94E+06
SPO0070	SPO0070				1.27E+06	1.13E+06	1.14E+06
SPO0071	SPO0071				232170	240357	254654
SPO0072	SPO0072				989481	1.01E+06	963341
SPO0073	SPO0073				3.59E+06	3.52E+06	3.45E+06
SPO0075	SPO0075				1.76E+07	1.80E+07	1.81E+07
SPO0076	SPO0076				1.76E+07	1.73E+07	1.83E+07
SPO0077	SPO0077				6.62E+06	6.17E+06	6.30E+06
SPO0078	SPO0078				5.95E+07	5.44E+07	5.43E+07
SPO0079	SPO0079				3.29E+06	3.14E+06	3.18E+06
SPO0080	SPO0080				2.43E+06	2.12E+06	2.02E+06
SPO0081	SPO0081				970357	1.00E+06	989120
SPO0082	SPO0082				7.92E+06	7.66E+06	7.84E+06
SPO0083	SPO0083				3.83E+06	3.56E+06	3.44E+06
SPO0084	SPO0084				2.37E+06	2.50E+06	2.35E+06
SPO0085	SPO0085				44644.8		191935
SPO0086	SPO0086				1.08E+06	1.12E+06	1.07E+06
SPO0087	SPO0087				1.62E+06	1.56E+06	934817
SPO0088	SPO0088				1.47E+06	1.31E+06	1.36E+06
SPO0089	SPO0089				165739	163881	165952
SPO0090	SPO0090				585435	712914	632773
SPO0091	SPO0091				1.28E+06	1.19E+06	1.12E+06
SPO0092	SPO0092				1.81E+06	1.93E+06	1.89E+06
SPO0093	SPO0093				1.22E+06	1.33E+06	1.27E+06
SPO0094	SPO0094				101030	103793	110619
SPO0095	SPO0095				3.69E+06	3.76E+06	3.72E+06
SPO0096	SPO0096				67863.8	41719.5	45423.1
SPO0097	SPO0097				4.44E+06	4.32E+06	4.39E+06
SPO0098	SPO0098				740122	760201	783427
SPO0099	SPO0099				1.72E+06	1.34E+06	1.75E+06
SPO0100	SPO0100				911581	903513	895641
SPO0101	SPO0101				7.63E+06	7.22E+06	7.10E+06
SPO0102	SPO0102				3.65E+06	3.70E+06	3.55E+06
SPO0103	SPO0103				4.49E+06	4.78E+06	4.76E+06
SPO0104	SPO0104				8.35E+06	8.58E+06	8.69E+06
SPO0105	SPO0105				1.83E+06	1.92E+06	1.93E+06
SPO0106	SPO0106				5.53E+06	5.71E+06	5.57E+06
SPO0107	SPO0107				1.72E+06	1.68E+06	1.70E+06
SPO0109	SPO0109				1.77E+06	1.58E+06	1.66E+06
SPO0110	SPO0110				1.63E+06	1.67E+06	1.67E+06
SPO0111	SPO0111				6.14E+06	6.26E+06	5.70E+06
SPO0112	SPO0112				2.29E+06	2.36E+06	2.29E+06
SPO0113	SPO0113				1.17E+06	1.24E+06	1.19E+06
SPO0114	SPO0114				26109.9		
SPO0115	SPO0115				4.12E+06	4.03E+06	3.92E+06
SPO0116	SPO0116				1.74E+06	1.58E+06	1.60E+06
SPO0118	SPO0118				99793.5	87653.1	64575.6
SPO0119	SPO0119				540849	560318	536385
SPO0120	SPO0120						20166.4
SPO0122	SPO0122				653939	760535	708368
SPO0123	SPO0123				1.43E+06	1.45E+06	1.42E+06
SPO0124	SPO0124				8.56E+06	8.79E+06	8.69E+06
SPO0125	SPO0125				2.12E+06	2.14E+06	2.17E+06
SPO0126	SPO0126				782913	774988	745403
SPO0127	SPO0127				1.21E+06	1.13E+06	1.15E+06
SPO0128	SPO0128				7.24E+06	7.22E+06	7.57E+06
SPO0129	SPO0129				1.48E+06	1.44E+06	1.38E+06
SPO0130	SPO0130				2.74E+07	2.94E+07	2.65E+07
SPO0131	SPO0131				2.98E+06	3.05E+06	3.11E+06
SPO0132	SPO0132				56970		28523.2
SPO0133	SPO0133				5.72E+06	5.81E+06	5.75E+06
SPO0134	SPO0134				1.51E+06	1.46E+06	1.46E+06
SPO0135	SPO0135				471729	462070	468624
SPO0136	SPO0136				2.43E+06	2.31E+06	2.35E+06
SPO0137	SPO0137				1.49E+06	1.50E+06	1.49E+06
SPO0138	SPO0138				1.61E+06	1.64E+06	1.64E+06
SPO0139	SPO0139				8.00E+06	7.98E+06	7.91E+06
SPO0140	SPO0140				1.15E+06	1.11E+06	1.16E+06
SPO0141	SPO0141				2.57E+06	2.64E+06	2.65E+06
SPO0142	SPO0142				1.10E+07	1.08E+07	1.09E+07
SPO0143	SPO0143				116612	86017.3	83422.5
SPO0144	SPO0144				4.11E+06	4.13E+06	4.30E+06
SPO0145	SPO0145				4.92E+06	5.16E+06	5.04E+06
SPO0146	SPO0146				1.90E+06	1.83E+06	1.81E+06
SPO0147	SPO0147				3.07E+07	3.07E+07	3.23E+07
SPO0148	SPO0148				3.44E+07	3.21E+07	3.61E+07
SPO0149	SPO0149				2.67E+06	2.55E+06	2.63E+06
SPO0150	SPO0150				2.42E+07	2.35E+07	2.38E+07
SPO0151	SPO0151				624158	595034	599370
SPO0153	SPO0153				242545	260194	245494
SPO0154	SPO0154				3.75E+06	3.63E+06	3.89E+06
SPO0155	SPO0155				1.44E+07	1.42E+07	1.45E+07
SPO0156	SPO0156				554176	574199	610345
SPO0157	SPO0157				315905	284723	298650
SPO0160	SPO0160				739553	708897	732266
SPO0161	SPO0161				2.05E+06	2.07E+06	2.06E+06
SPO0162	SPO0162				1.25E+06	1.45E+06	1.24E+06
SPO0163	SPO0163				747939	719487	712877
SPO0164	SPO0164				1.06E+06	1.12E+06	1.13E+06
SPO0165	SPO0165				157412	154024	139813
SPO0166	SPO0166				1.67E+06	1.74E+06	1.73E+06
SPO0167	SPO0167				1.10E+06	1.08E+06	1.03E+06
SPO0168	SPO0168				285433	276391	307312
SPO0170	SPO0170						
SPO0174	SPO0174				45564.1	39228	64328.4
SPO0175	SPO0175				108992	89567.8	119366
SPO0177	SPO0177				182122	202453	132697
SPO0178	SPO0178				50251.3		
SPO0180	SPO0180				39521.9		
SPO0181	SPO0181				1.73E+06	1.80E+06	1.78E+06
SPO0182	SPO0182						
