Accession Number	Annotation	1	2	3
SPO0001	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	3.06E+06	2.91E+06	2.96E+06
SPO0002	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	1.52E+06	1.47E+06	1.51E+06
SPO0003	Chromosome partitioning protein ParA	3.87E+06	3.67E+06	3.87E+06
SPO0004	Chromosome partitioning protein parB	6.46E+06	6.57E+06	6.39E+06
SPO0005	DUF454 domain-containing protein	151474	101262	111144
SPO0006	Heme chaperone HemW	1.65E+06	1.70E+06	1.71E+06
SPO0007	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	1.61E+06	1.70E+06	1.51E+06
SPO0008	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	8.21E+06	7.65E+06	7.91E+06
SPO0009	Heat-inducible transcription repressor HrcA	1.75E+06	1.79E+06	1.76E+06
SPO0010	Protein GrpE (HSP-70 cofactor)	2.34E+07	2.27E+07	2.29E+07
SPO0011	DNA mismatch repair protein MutS	4.13E+06	4.08E+06	4.01E+06
SPO0012	NADP-dependent malic enzyme (EC 1.1.1.40)	9.98E+06	9.44E+06	9.67E+06
SPO0013	Ribokinase (RK) (EC 2.7.1.15)	2.57E+06	2.60E+06	2.65E+06
SPO0014	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	293225	254110	283549
SPO0015	Branched-chain amino acid aminotransferase	3.65E+06	3.55E+06	3.56E+06
SPO0016	Sterol carrier family protein	1.55E+06	1.39E+06	1.44E+06
SPO0017	Calpastatin	831130	926440	893131
SPO0018	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	2.01E+07	2.02E+07	2.03E+07
SPO0019	"Membrane protein, putative"	373904	387104	368767
SPO0020	L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	2.27E+06	2.21E+06	2.28E+06
SPO0021	Hpt domain protein	124514
SPO0022	Response regulator	13534.8	20635.1	61463
SPO0023	"Hydrolase, NUDIX family"	474951	491828	499178
