Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_3.raw
SPO0001	SPO0001						
SPO0002	SPO0002						
SPO0003	SPO0003				73180.7	142032	255106
SPO0004	SPO0004				537724	561411	1.43E+06
SPO0005	SPO0005						
SPO0006	SPO0006				44414.6		
SPO0007	SPO0007				468732	660785	447214
SPO0008	SPO0008						144174
SPO0009	SPO0009						
SPO0010	SPO0010				340601	398052	570750
SPO0011	SPO0011				371819	1.53E+07	1.33E+07
SPO0012	SPO0012				3.59E+06		404599
SPO0013	SPO0013						
SPO0014	SPO0014				120202		
SPO0015	SPO0015						
SPO0016	SPO0016						
SPO0017	SPO0017						455293
SPO0018	SPO0018				113062	165654	
SPO0019	SPO0019						
SPO0020	SPO0020						
SPO0021	SPO0021						
SPO0022	SPO0022						494088
SPO0023	SPO0023					207814	
SPO0024	SPO0024						
SPO0025	SPO0025						
SPO0026	SPO0026					1.00E+06	
SPO0027	SPO0027				7.24E+06		307768
SPO0028	SPO0028				1.58E+07	8.98E+07	1.78E+08
SPO0029	SPO0029						
SPO0030	SPO0030						799649
SPO0031	SPO0031				2.89E+06	2.80E+06	3.07E+06
SPO0033	SPO0033						
SPO0034	SPO0034						
SPO0035	SPO0035						
SPO0036	SPO0036						
SPO0037	SPO0037						
SPO0038	SPO0038				1.90E+06		
SPO0039	SPO0039				276305	616450	1.30E+06
SPO0040	SPO0040						
SPO0041	SPO0041				4.36E+06	5.17E+06	3.37E+06
SPO0042	SPO0042					11378.6	
SPO0043	SPO0043				6.13E+06	5.26E+06	5.69E+06
SPO0044	SPO0044				6.40E+06	2.56E+06	3.96E+06
SPO0045	SPO0045						
SPO0046	SPO0046						
SPO0046a	SPO0046a						
SPO0047	SPO0047						
SPO0048	SPO0048						
SPO0049	SPO0049				501969	532244	
SPO0050	SPO0050				5.34E+07	5.39E+07	6.22E+07
SPO0051	SPO0051						
SPO0052	SPO0052						
SPO0053	SPO0053						
