Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_3.raw
SPO0001	SPO0001				3.01E+06	2.90E+06	2.92E+06
SPO0002	SPO0002				1.56E+06	1.48E+06	1.49E+06
SPO0003	SPO0003				3.52E+06	3.25E+06	3.27E+06
SPO0004	SPO0004				5.84E+06	6.04E+06	6.36E+06
SPO0005	SPO0005					69317.9	53423.4
SPO0006	SPO0006				1.56E+06	1.53E+06	1.47E+06
SPO0007	SPO0007				1.21E+06	1.29E+06	1.22E+06
SPO0008	SPO0008				7.36E+06	7.63E+06	8.04E+06
SPO0009	SPO0009				2.04E+06	2.03E+06	2.03E+06
SPO0010	SPO0010				2.43E+07	2.55E+07	2.81E+07
SPO0011	SPO0011				3.91E+06	3.86E+06	3.79E+06
SPO0012	SPO0012				9.53E+06	9.96E+06	9.68E+06
SPO0013	SPO0013				2.50E+06	2.66E+06	2.61E+06
SPO0014	SPO0014				210560	228098	200880
SPO0015	SPO0015				2.99E+06	2.91E+06	2.86E+06
SPO0016	SPO0016				1.12E+06	1.20E+06	1.29E+06
SPO0017	SPO0017				872087	820513	836350
SPO0018	SPO0018				1.75E+07	1.66E+07	1.75E+07
SPO0019	SPO0019				361066	256138	227455
SPO0020	SPO0020				2.01E+06	1.93E+06	1.87E+06
SPO0021	SPO0021				109564	128726	171391
SPO0022	SPO0022				12258.8		
SPO0023	SPO0023				541432	519857	516845
SPO0024	SPO0024				3.53E+06	3.52E+06	3.52E+06
SPO0025	SPO0025				496908	473759	494430
SPO0026	SPO0026				1.89E+06	1.80E+06	1.84E+06
SPO0027	SPO0027				986256	921942	955315
SPO0028	SPO0028				615175	536160	562061
SPO0029	SPO0029				1.42E+06	1.28E+06	1.29E+06
SPO0030	SPO0030				2.14E+06	1.93E+06	2.11E+06
SPO0031	SPO0031				2.66E+06	2.45E+06	2.48E+06
SPO0033	SPO0033				257715	260853	244158
SPO0034	SPO0034				1.79E+06	1.63E+06	1.72E+06
SPO0035	SPO0035				1.21E+06	1.18E+06	1.18E+06
SPO0036	SPO0036				1.19E+06	1.17E+06	1.13E+06
SPO0037	SPO0037				625537	589094	567226
SPO0038	SPO0038				4.09E+06	4.13E+06	4.17E+06
SPO0039	SPO0039				7.43E+06	7.71E+06	7.45E+06
SPO0040	SPO0040				201449	112667	113995
SPO0041	SPO0041				1.45E+06	1.49E+06	1.61E+06
SPO0042	SPO0042				1.34E+06	1.40E+06	1.30E+06
SPO0043	SPO0043				6.24E+07	6.04E+07	6.72E+07
SPO0044	SPO0044				1.42E+07	1.49E+07	1.53E+07
SPO0045	SPO0045				512415	524489	493204
SPO0046	SPO0046				213673	214706	221146
SPO0046a	SPO0046a				66817.3	86641.1	84445.6
SPO0047	SPO0047				314042	292641	298526
SPO0048	SPO0048				274573	260215	243362
SPO0049	SPO0049				111518	127357	105857
SPO0050	SPO0050				3.06E+06	3.00E+06	2.92E+06
SPO0051	SPO0051				349915	324058	353183
SPO0052	SPO0052				169514	176554	174959
SPO0053	SPO0053				172555	127870	147122
SPO0054	SPO0054				225092	220704	208574
SPO0055	SPO0055				3.03E+06	3.14E+06	3.15E+06
SPO0056	SPO0056				164651	146126	158358
SPO0057	SPO0057				1.50E+07	1.51E+07	1.57E+07
SPO0058	SPO0058				1.44E+07	1.40E+07	1.50E+07
SPO0059	SPO0059				1.12E+07	1.15E+07	1.23E+07
SPO0060	SPO0060				1.54E+06	1.33E+06	1.46E+06
SPO0061	SPO0061				5.01E+07	5.14E+07	5.32E+07
SPO0062	SPO0062				4.71E+06	4.81E+06	4.91E+06
SPO0063	SPO0063				2.29E+07	2.60E+07	2.80E+07
SPO0064	SPO0064				1.57E+06	1.55E+06	1.78E+06
SPO0066	SPO0066				4.35E+06	4.28E+06	4.32E+06
SPO0067	SPO0067				3.35E+06	3.04E+06	2.74E+06
SPO0068	SPO0068				2.18E+06	2.05E+06	1.88E+06
SPO0069	SPO0069				2.10E+06	2.00E+06	1.98E+06
SPO0070	SPO0070				1.46E+06	1.59E+06	1.53E+06
SPO0071	SPO0071				225278	233330	220307
SPO0072	SPO0072				1.01E+06	917756	948479
SPO0073	SPO0073				4.14E+06	4.08E+06	4.03E+06
SPO0075	SPO0075				1.96E+07	1.95E+07	2.06E+07
SPO0076	SPO0076				2.07E+07	2.25E+07	2.18E+07
SPO0077	SPO0077				6.30E+06	5.81E+06	6.22E+06
SPO0078	SPO0078				6.28E+07	6.24E+07	6.41E+07
SPO0079	SPO0079				3.33E+06	3.25E+06	3.26E+06
SPO0080	SPO0080				3.06E+06	3.18E+06	3.56E+06
SPO0081	SPO0081				862813	824848	923890
SPO0082	SPO0082				6.40E+06	6.22E+06	6.12E+06
SPO0083	SPO0083				3.23E+06	3.58E+06	3.32E+06
SPO0084	SPO0084				1.90E+06	1.86E+06	2.11E+06
SPO0085	SPO0085					115123	63190.5
SPO0086	SPO0086				315506	323307	332624
SPO0087	SPO0087				3.15E+06	793890	1.36E+06
SPO0088	SPO0088				866004	569126	723188
SPO0089	SPO0089				72337.3	62307.3	55755
SPO0090	SPO0090				500828	489997	526071
SPO0091	SPO0091				998589	926460	958584
SPO0092	SPO0092				1.82E+06	1.75E+06	1.83E+06
SPO0093	SPO0093				1.42E+06	1.29E+06	1.35E+06
