Accession Number	Annotation	1	2	3
SPO0001	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	3.01E+06	2.90E+06	2.92E+06
SPO0002	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	1.56E+06	1.48E+06	1.49E+06
SPO0003	Chromosome partitioning protein ParA	3.52E+06	3.25E+06	3.27E+06
SPO0004	Chromosome partitioning protein parB	5.84E+06	6.04E+06	6.36E+06
SPO0005	DUF454 domain-containing protein		69317.9	53423.4
SPO0006	Heme chaperone HemW	1.56E+06	1.53E+06	1.47E+06
SPO0007	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	1.21E+06	1.29E+06	1.22E+06
SPO0008	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	7.36E+06	7.63E+06	8.04E+06
SPO0009	Heat-inducible transcription repressor HrcA	2.04E+06	2.03E+06	2.03E+06
SPO0010	Protein GrpE (HSP-70 cofactor)	2.43E+07	2.55E+07	2.81E+07
SPO0011	DNA mismatch repair protein MutS	3.91E+06	3.86E+06	3.79E+06
SPO0012	NADP-dependent malic enzyme (EC 1.1.1.40)	9.53E+06	9.96E+06	9.68E+06
SPO0013	Ribokinase (RK) (EC 2.7.1.15)	2.50E+06	2.66E+06	2.61E+06
SPO0014	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	210560	228098	200880
SPO0015	Branched-chain amino acid aminotransferase	2.99E+06	2.91E+06	2.86E+06
SPO0016	Sterol carrier family protein	1.12E+06	1.20E+06	1.29E+06
SPO0017	Calpastatin	872087	820513	836350
SPO0018	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	1.75E+07	1.66E+07	1.75E+07
SPO0019	"Membrane protein, putative"	361066	256138	227455
SPO0020	L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	2.01E+06	1.93E+06	1.87E+06
SPO0021	Hpt domain protein	109564	128726	171391
SPO0022	Response regulator	12258.8
SPO0023	"Hydrolase, NUDIX family"	541432	519857	516845
SPO0024	"Chaperonin, 33 kDa"	3.53E+06	3.52E+06	3.52E+06
SPO0025	"Hydrolase, NUDIX family"	496908	473759	494430
SPO0026	PolyA polymerase family protein	1.89E+06	1.80E+06	1.84E+06
SPO0027	"ABC transporter, transmembrane ATP-binding protein"	986256	921942	955315
SPO0028	"ABC transporter, transmembrane ATP-binding protein"	615175	536160	562061
SPO0029	23S rRNA (Uracil-5-)-methyltransferase rumA (EC 2.1.1.-)	1.42E+06	1.28E+06	1.29E+06
SPO0030	Voltage-gated sodium channel	2.14E+06	1.93E+06	2.11E+06
SPO0031	ErfK/YbiS/YcfS/YnhG family protein	2.66E+06	2.45E+06	2.48E+06
SPO0033	"Transcriptional regulator, LysR family"	257715	260853	244158
SPO0034	Nodulation protein NodH	1.79E+06	1.63E+06	1.72E+06
SPO0035	Peptide O-xylosyltransferase	1.21E+06	1.18E+06	1.18E+06
SPO0036	"Glycosyl transferase, group 2 family protein"	1.19E+06	1.17E+06	1.13E+06
SPO0037	"Glycosyl transferase, group 2 family protein"	625537	589094	567226
SPO0038	3-deoxy-D-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	4.09E+06	4.13E+06	4.17E+06
SPO0039	"3'(2'),5'-bisphosphate nucleotidase CysQ (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase)"	7.43E+06	7.71E+06	7.45E+06
SPO0040	"ABC transporter, permease protein"	201449	112667	113995
SPO0041	SH3b domain-containing protein	1.45E+06	1.49E+06	1.61E+06
