Condition,derivative_t0,Dataset,Mean,Std,v0_fmol,base_sample,mean_final,std_final,Cells/PA,std_PA,v0_cell,PI_status,Mean_fmol,Std_fmol,Mean_cell,Std_cell
25,18.83653506,PR_INTRAPI,19.15164025,1.559848063,47.09133765,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006522848,PI,47.87910064,3.899620157,0.006631965,0.00054
25,17.77340071,PR_INTRAPI,19.15164025,1.559848063,44.43350177,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006154698,PI,47.87910064,3.899620157,,
25,20.844985,PR_INTRAPI,19.15164025,1.559848063,52.1124625,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.007218348,PI,47.87910064,3.899620157,,
50,9.395910684,PR_INTRAPI,9.558222005,0.221951285,23.48977671,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.003253682,PI,23.89555501,0.554878212,0.003309888,0.000077
50,9.811143929,PR_INTRAPI,9.558222005,0.221951285,24.52785982,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.003397472,PI,23.89555501,0.554878212,,
50,9.467611402,PR_INTRAPI,9.558222005,0.221951285,23.66902851,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.003278511,PI,23.89555501,0.554878212,,
100,19.69769537,PR_INTRAPI,19.43132476,0.718686443,49.24423841,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006821056,PI,48.57831189,1.796716108,0.006728816,0.000249
100,19.97879739,PR_INTRAPI,19.43132476,0.718686443,49.94699348,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006918398,PI,48.57831189,1.796716108,,
100,18.61748152,PR_INTRAPI,19.43132476,0.718686443,46.54370379,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006446992,PI,48.57831189,1.796716108,,
150,37.75791581,PR_INTRAPI,30.80437558,7.324534219,94.39478953,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.013075077,PI,77.01093894,18.31133555,0.010667156,0.002536
150,23.15807189,PR_INTRAPI,30.80437558,7.324534219,57.89517973,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.00801934,PI,77.01093894,18.31133555,,
150,31.49713903,PR_INTRAPI,30.80437558,7.324534219,78.74284757,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.010907051,PI,77.01093894,18.31133555,,
25,17.71895038,PROMM_INTRA,18.37393114,0.645637948,44.29737596,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.0126967,noPI,45.93482784,1.614094869,0.013166033,0.000463
25,18.39304104,PROMM_INTRA,18.37393114,0.645637948,45.9826026,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.013179727,noPI,45.93482784,1.614094869,,
25,19.00980199,PROMM_INTRA,18.37393114,0.645637948,47.52450497,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.013621673,noPI,45.93482784,1.614094869,,
50,7.565933688,PROMM_INTRA,6.992606278,0.596495101,18.91483422,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.005421449,noPI,17.48151569,1.491237752,0.005010626,0.000427
50,7.036515055,PROMM_INTRA,6.992606278,0.596495101,17.59128764,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.005042089,noPI,17.48151569,1.491237752,,
50,6.37537009,PROMM_INTRA,6.992606278,0.596495101,15.93842523,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.004568338,noPI,17.48151569,1.491237752,,
100,12.92835039,PROMM_INTRA,12.97194186,1.493048818,32.32087597,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.009263945,noPI,32.42985464,3.732622045,0.009295181,0.00107
100,14.48630907,PROMM_INTRA,12.97194186,1.493048818,36.21577266,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.010380317,noPI,32.42985464,3.732622045,,
100,11.50116611,PROMM_INTRA,12.97194186,1.493048818,28.75291528,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.008241281,noPI,32.42985464,3.732622045,,
150,18.76792258,PROMM_INTRA,18.07423628,0.704487569,46.91980644,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.013448352,noPI,45.18559069,1.761218923,0.012951284,0.000505
150,17.35942272,PROMM_INTRA,18.07423628,0.704487569,43.39855679,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.012439077,noPI,45.18559069,1.761218923,,
150,18.09536354,PROMM_INTRA,18.07423628,0.704487569,45.23840884,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.012966423,noPI,45.18559069,1.761218923,,
50,6.77071025,PROMM_INTRAPI,6.727097417,0.656376608,16.92677563,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.004851624,PI,16.81774354,1.640941521,0.004820372,0.00047
50,6.050001986,PROMM_INTRAPI,6.727097417,0.656376608,15.12500497,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.004335193,PI,16.81774354,1.640941521,,
50,7.360580016,PROMM_INTRAPI,6.727097417,0.656376608,18.40145004,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.005274301,PI,16.81774354,1.640941521,,
100,11.19009593,PROMM_INTRAPI,12.06541235,1.369097988,27.97523981,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.008018381,PI,30.16353086,3.422744971,0.008645598,0.000981
100,13.64315615,PROMM_INTRAPI,12.06541235,1.369097988,34.10789039,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.009776147,PI,30.16353086,3.422744971,,
100,11.36298495,PROMM_INTRAPI,12.06541235,1.369097988,28.40746239,PROMM,139.5555556,5.87209345,3488.888889,146.8023362,0.008142266,PI,30.16353086,3.422744971,,
25,14.73458612,PR_SEC,16.11091583,3.570451389,36.8364653,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.005102396,noPI,40.27728959,8.926128472,0.005579001,0.001236
25,20.16470255,PR_SEC,16.11091583,3.570451389,50.41175638,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006982775,noPI,40.27728959,8.926128472,,
25,13.43345883,PR_SEC,16.11091583,3.570451389,33.58364708,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.004651833,noPI,40.27728959,8.926128472,,
50,9.159007715,PR_SEC,9.751762666,0.803615512,22.89751929,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.003171646,noPI,24.37940667,2.009038781,0.003376909,0.000278
50,9.429852937,PR_SEC,9.751762666,0.803615512,23.57463234,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.003265436,noPI,24.37940667,2.009038781,,
50,10.66642735,PR_SEC,9.751762666,0.803615512,26.66606837,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.003693645,noPI,24.37940667,2.009038781,,
100,18.80248407,PR_SEC,19.67117802,2.151705625,47.00621018,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006511056,noPI,49.17794504,5.379264064,0.006811874,0.000745
