Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_3.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_I.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_II.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_III.raw
SPO0001	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)				2.32223e+06	3.00827e+06	2.46707e+06	2.40301e+06	1.2332e+06	2.89588e+06	3.05573e+06	2.96227e+06		2.90522e+06	1.24925e+06	2.92225e+06			
SPO0002	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)				1.10589e+06	1.55741e+06	1.1197e+06	1.18668e+06		1.48095e+06	1.51584e+06	1.51282e+06		1.47249e+06		1.48926e+06			
SPO0003	Chromosome partitioning protein ParA				2.83811e+06	3.51911e+06	3.42798e+06	3.2487e+06		3.25331e+06	3.87442e+06	3.86866e+06		3.6654e+06		3.26848e+06	73180.7	142032	255106
SPO0004	Chromosome partitioning protein parB				6.37664e+06	5.83873e+06	6.27037e+06	6.33266e+06	5.51433e+06	6.03586e+06	6.45747e+06	6.39141e+06	4.06679e+06	6.56774e+06	3.27712e+06	6.35894e+06	537724	561411	1.42577e+06
SPO0005	DUF454 domain-containing protein				78498.8		118035	128555		69317.9	151474	111144		101262		53423.4			
SPO0006	Heme chaperone HemW				1.32291e+06	1.55647e+06	1.3427e+06	1.22631e+06		1.52624e+06	1.65399e+06	1.70865e+06		1.70038e+06		1.47381e+06	44414.6		
SPO0007	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)				805914	1.21116e+06	1.28736e+06	1.39136e+06		1.28574e+06	1.60708e+06	1.51405e+06		1.69947e+06	1.08522e+07	1.22188e+06	468732	660785	447214
SPO0008	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)				5.97021e+06	7.35715e+06	5.78732e+06	6.11239e+06	5.69243e+06	7.62804e+06	8.21154e+06	7.90774e+06	6.50297e+06	7.65465e+06	7.88713e+06	8.03775e+06			144174
SPO0009	Heat-inducible transcription repressor HrcA				2.40837e+06	2.04355e+06	3.14761e+06	3.02952e+06		2.02808e+06	1.75083e+06	1.75797e+06		1.79133e+06		2.02686e+06			
SPO0010	Protein GrpE (HSP-70 cofactor)				1.41508e+07	2.42932e+07	2.0274e+07	2.03219e+07	2.40686e+07	2.54813e+07	2.3434e+07	2.2902e+07	2.55554e+07	2.26528e+07	2.86065e+07	2.81169e+07	340601	398052	570750
SPO0011	DNA mismatch repair protein MutS				3.66171e+06	3.91245e+06	4.02542e+06	3.95019e+06		3.85778e+06	4.12706e+06	4.01297e+06		4.0764e+06		3.78969e+06	371819	1.52866e+07	1.33458e+07
SPO0012	NADP-dependent malic enzyme (EC 1.1.1.40)				1.05962e+07	9.53016e+06	9.27386e+06	9.38977e+06	7.99689e+06	9.95749e+06	9.97922e+06	9.67483e+06	4.90745e+06	9.44063e+06	6.82209e+06	9.68445e+06	3.58847e+06		404599
SPO0013	Ribokinase (RK) (EC 2.7.1.15)				3.05298e+06	2.50128e+06	2.60754e+06	2.63082e+06		2.66179e+06	2.56592e+06	2.64787e+06		2.60398e+06		2.60592e+06			
